,Accuracy,Recall,Precision,F1-score,Brier Score,Log Loss,ME,AUC,AUPR,Accuracy,Recall,Precision,F1-score,Brier Score,Log Loss,ME,AUC,AUPR
Bladder,0.9547765624076154,0.6280977655037878,0.6522093901326868,0.6388768831310258,0.043732126778016175,0.22046693267253042,0.04522343759238456,0.8417168806998365,0.6088250950177383,0.005509505725228401,0.055413613966448935,0.020713855439187072,0.03454972564323335,0.004947266995137778,0.02761225034706966,0.005509505725228401,0.040592696028074686,0.03886020848214916
Brain,0.9926169218944008,0.9541069573069574,0.969603243995544,0.9616377688465994,0.006999310910959139,0.04128826572192372,0.007383078105599239,0.9764194600107151,0.9541023922694155,0.0025075538457420945,0.025568154913890025,0.012424342034405084,0.01622504964086427,0.0025747845038332218,0.014926222042912673,0.0025075538457420945,0.01514207361640683,0.025175937724147886
Breast,0.953391947023,0.8042359587126491,0.8118366992876025,0.8066196802060711,0.043728527209717184,0.22568483950848792,0.04660805297699997,0.8988456823799094,0.7913104796674635,0.0044465049239903005,0.023806003442929793,0.04830250271010174,0.017530280020935096,0.00445912662253278,0.02291827666115806,0.0044465049239903,0.024647865323523116,0.022116582078154503
Bronchus & Lung,0.9324719446579554,0.7413238438858567,0.7386443505383696,0.7390924765937864,0.06424487376762932,0.3235920088407068,0.06752805534204456,0.8986367255281348,0.7445823591421424,0.0024991502474170763,0.028062517991569915,0.023689807163320774,0.00483786479797334,0.0016248604450669493,0.018480320466866408,0.0024991502474170763,0.01726935494053576,0.007964928503733953
Cervix,0.965390054987288,0.6508613335788149,0.6359305555555556,0.6338280209646543,0.03345513802922271,0.16527887027054275,0.034609945012712126,0.8422291209509567,0.5880823217069351,0.0020038508868341705,0.08490870749468249,0.08560996195782215,0.024440912817930087,0.0022321232144819477,0.02306885550616719,0.0020038508868341705,0.06253789233735703,0.05053942659015866
Corpus,0.9678511204398983,0.7743271112142531,0.7558431612618297,0.7636270581746948,0.031012648600164328,0.15518893527346053,0.032148879560101686,0.901766946822697,0.7384583061913865,0.004167895338250684,0.03892763389475507,0.04889681155052065,0.03079179580159595,0.003734164190147207,0.02294640827816449,0.004167895338250685,0.019815606480251175,0.026193673709722115
Kidney,0.9796958552592681,0.8956896580836518,0.9057375175595054,0.9000093809875404,0.019089282952495464,0.1017013593921309,0.020304144740731965,0.9509159568758772,0.8866347221612605,0.0022036655650826235,0.030812682617388443,0.024141450133749943,0.012615456882395841,0.0029559980859077293,0.019680290104719073,0.0022036655650826235,0.019574883134503868,0.026181731984441774
Liver,0.9790802341394194,0.8232437353594211,0.835468902455677,0.828972943020512,0.020461756678313115,0.10686352927643275,0.02091976586058062,0.9115550841292013,0.7919717303323368,0.00623756453291251,0.05765499583676326,0.06963023638405141,0.06125521727344647,0.0060872401574205755,0.030409480473595596,0.00623756453291251,0.039337953624011365,0.07736821239237701
Prostate,0.9866177496600248,0.8965382395382395,0.9224412032272978,0.908895941590527,0.012597791017538365,0.06907432632416513,0.013382250339975177,0.9438209466343471,0.8886504790859219,0.0039988201003776005,0.036275343002427976,0.03969975120167083,0.032434182986347385,0.0032671809612562753,0.015719120466873005,0.0039988201003776005,0.02016435669481581,0.03195417369306389
Stomach,0.9732354993200495,0.7740622396581259,0.7851007057497774,0.7770708398536817,0.02577748054274444,0.12993783803266107,0.026764500679950308,0.9055890340398156,0.7506685286392127,0.004106294809771769,0.07546886879664945,0.03836294527782598,0.04240521413313844,0.0038803660792470817,0.022139815325476583,0.0041062948097717695,0.025852111021304955,0.05236046504941279
Thyroid,0.9932318335008574,0.9573371671877424,0.9536226496108208,0.9554509868286958,0.0065207431192262685,0.03551454130074653,0.006768166499142669,0.9826851820902454,0.9512414553682091,0.001780807315826166,0.017580827496438457,0.013087704080678492,0.01470196423299216,0.0019049674553141605,0.010201698731062898,0.001780807315826166,0.010704292374042287,0.02165516563219147
Normal,0.9663136049192929,0.8562079509644395,0.7947222251439703,0.822694648253837,0.03246650166849104,0.15995189121234324,0.03368639508070712,0.9174219111983849,0.8028899554791288,0.0051293865639943275,0.038465126484557806,0.044265890231563555,0.021826319533220517,0.0045454834795358385,0.025016485697847937,0.005129386563994327,0.015065254634637254,0.020505891411193026
macro,0.8223366641045349,0.8130026634161617,0.813430050376553,0.8113980523709688,0.0283405151062098,0.14454527815217763,0.177663335895465,0.9061178445823235,0.735735839278402,0.008459828523113156,0.00962533664255237,0.008315002478135288,0.00881003812542917,0.001458443332310104,0.01032754484039393,0.008459828523113156,0.014399024825687667,0.02635845324050626
micro,0.8223366641045349,0.8223366641045349,0.8223366641045349,0.8223366641045349,0.0283405151062098,0.14454527815217763,0.177663335895465,0.9251576364257215,0.7565537372779663,0.008459828523113156,0.008459828523113156,0.008459828523113156,0.008459828523113156,0.001458443332310104,0.01032754484039393,0.008459828523113156,0.014761071593646737,0.031217057848109703
