,Accuracy,Recall,Precision,F1-score,Brier Score,Log Loss,ME,AUC,AUPR,Accuracy,Recall,Precision,F1-score,Brier Score,Log Loss,ME,AUC,AUPR
Bladder,0.954161177792231,0.6322644321704545,0.6443813509320985,0.6372432143193256,0.04469779656674354,1.5213107326028237,0.04583882220776918,0.8090761379238938,0.6561922600505132,0.005136861447451427,0.05006655026908303,0.031072052314429995,0.03395341945591446,0.004739617493781383,0.15122893908415744,0.005136861447451427,0.02253081940288734,0.028036090368666854
Brain,0.9924630757405547,0.9541069573069574,0.9682522756441033,0.9609737489724381,0.007071112293633432,0.23950815060902944,0.0075369242594453875,0.9756700409990756,0.9663059780310297,0.0024015805710099433,0.025568154913890025,0.01080753064723061,0.015677923003113207,0.002655176376006913,0.09335162176231501,0.0024015805710099433,0.013017568521343049,0.015656272777761063
Breast,0.953391947023,0.8042359587126491,0.8116409493629186,0.8066011397424555,0.04451830938725635,1.5014960178910093,0.04660805297699997,0.8914875344572973,0.8278065374785013,0.004056820993291974,0.023806003442929793,0.04584991885599582,0.015992441275253365,0.004680849524531576,0.19057391350050734,0.004056820993291973,0.009970117304273314,0.018834105496841072
Bronchus & Lung,0.93308732927334,0.7401473732976214,0.7424047364026755,0.7404472894524359,0.06539985021383946,2.2189297605531495,0.06691267072665993,0.853795228034177,0.7625840259409271,0.0013703702955795054,0.02913333710213626,0.020402462886537107,0.005037434030114611,0.0019029194484771416,0.09272848728662066,0.0013703702955795054,0.010751294924228176,0.006302355905378424
Cervix,0.9646208242180572,0.6508613335788149,0.6285351731601732,0.6286196876313209,0.03464413304690015,1.1710360036205945,0.0353791757819429,0.8192104358172626,0.6496102511537845,0.0012872152465057058,0.08490870749468249,0.09236456431344535,0.019073435394691612,0.002231303823461907,0.10508601343606898,0.0012872152465057058,0.04237757192051566,0.03113703035989395
Corpus,0.9669280435168215,0.7743271112142531,0.7457327084833987,0.7581021710309941,0.031888195799417936,1.0803729965374798,0.03307195648317862,0.8794370613810798,0.7737500720879792,0.003228303078259306,0.03892763389475507,0.05061774131867983,0.028117277480629352,0.003633901026657774,0.11521696336420717,0.003228303078259306,0.018498559876782884,0.02744676699862261
Kidney,0.9803112398746526,0.8942610866550803,0.912537756477224,0.9027524681681929,0.01947508491167215,0.6551542082598734,0.01968876012534735,0.9438604375616448,0.9108822562694151,0.002979168394959464,0.030074126524926446,0.02349079825513313,0.015268979227943956,0.003012595664827883,0.11477994274001115,0.002979168394959464,0.01595666165074795,0.015795138988580773
Liver,0.9790802341394194,0.8232437353594211,0.835468902455677,0.828972943020512,0.021069338510153267,0.7181629149223414,0.02091976586058062,0.9062386947946806,0.8343410485954191,0.00623756453291251,0.05765499583676326,0.06963023638405141,0.06125521727344647,0.0063089682905397735,0.22186688723883674,0.00623756453291251,0.030441954190132615,0.06092512915196017
Prostate,0.9870792881215632,0.8942655122655123,0.9309101604304322,0.9115835895504212,0.012796780254505083,0.4263569179196126,0.012920711878436708,0.9476128041717429,0.9188700394432139,0.0032762694039458855,0.04051017558622409,0.030961059917731265,0.027532463994360035,0.0034089912246151937,0.10455790748622351,0.0032762694039458855,0.017360063184965056,0.025782079677300184
Stomach,0.9733893454738958,0.7765313754605951,0.7857152799376615,0.7787940395634587,0.0262303126457623,0.8739901489826767,0.02661065452610416,0.8828388674871462,0.7912859446569627,0.0039052188411215875,0.07161439701051654,0.03847768860728775,0.0400043811982525,0.003924254948577594,0.14094471607308393,0.003905218841121588,0.03344318631643104,0.03959259713823824
Thyroid,0.9933856796547035,0.9573371671877424,0.9552613050730056,0.9562668864102857,0.006622867353843526,0.22358425193872716,0.0066143203452965205,0.9776622451310985,0.9585828366440035,0.0019820049641927503,0.017580827496438457,0.015877310507858008,0.015833843000076227,0.0020175076652587326,0.07572659446916051,0.0019820049641927503,0.010176273801585053,0.016352642393119385
Normal,0.9667751433808313,0.8562079509644395,0.7983092147072492,0.8244319010388399,0.03329750619181826,1.1233589739420133,0.03322485661916867,0.91737498103066,0.8344326883287156,0.004695188355963611,0.038465126484557806,0.047655954214732905,0.022070070120798764,0.004593259258630718,0.15002641659339677,0.004695188355963611,0.01828596865402301,0.019803341171131923
macro,0.8223366641045351,0.8131491661811283,0.8132624844222182,0.8112324232417233,0.02897594059796212,0.9794384231482776,0.177663335895465,0.8999920242371431,0.7294886381106573,0.008102563722499534,0.009387611083938378,0.007669379610022208,0.008430590620841318,0.0014689277398597478,0.06194993093351116,0.008102563722499534,0.005618962070595161,0.02317281422602225
micro,0.8223366641045351,0.8223366641045351,0.8223366641045351,0.8223366641045351,0.02897594059796212,0.9794384231482776,0.177663335895465,0.9049357920398056,0.8337927463615884,0.008102563722499534,0.008102563722499534,0.008102563722499534,0.008102563722499534,0.0014689277398597478,0.06194993093351116,0.008102563722499534,0.0046276024512387414,0.008640402623248424
