,Accuracy,Recall,Precision,F1-score,Brier Score,Log Loss,ME,AUC,AUPR,Accuracy,Recall,Precision,F1-score,Brier Score,Log Loss,ME,AUC,AUPR
Bladder,0.991693844971324,0.9431701520219367,0.9290369446014607,0.9356434469138716,0.0069082272807510755,0.030924448855914756,0.008306155028676154,0.9970717451970927,0.9738019336453487,0.00156727305095093,0.0153186133466414,0.02709915531784729,0.01046753873282001,0.0007950384917509004,0.0030312436741825734,0.00156727305095093,0.0014659363722967058,0.009962734766175015
Brain,0.9990772778336192,0.9966239316239317,0.9933975115793299,0.9950041589855777,0.000923480682438444,0.007880248258439724,0.0009227221663808738,0.9998038342494112,0.9989291608053408,0.0008965220733822703,0.004135374496889881,0.0061851536561268175,0.004880327684298982,0.000789019699985321,0.0030058301505281543,0.0008965220733822703,0.0003574249021979946,0.0017975102079454935
Breast,0.9960009460178559,0.9811515899969127,0.9859684451829377,0.9835072345309392,0.003532739696691424,0.018682131135103253,0.003999053982143908,0.9992446703096698,0.9969998554993958,0.0016413876074920846,0.012011863601241199,0.006108138345723206,0.006725215156916538,0.0013782841395051505,0.005239122276765894,0.0016413876074920844,0.000667971089007841,0.0020105043322967663
Bronchus & Lung,0.9932317152486252,0.9798726763432646,0.9682743795868738,0.9739874501337216,0.005283566005561044,0.02485056628488831,0.006768284751374675,0.9989227957302239,0.9953093657205667,0.002452142375351546,0.012641187151588339,0.010674842568052451,0.009312807678846827,0.0015145168139740872,0.00593608060181697,0.002452142375351546,0.001214704061368551,0.0036067445951742313
Cervix,0.9932315969963932,0.9120117217466015,0.9418771230771601,0.9265933484589084,0.0062596234089850305,0.028871786388482278,0.0067684030036067044,0.9967233870405409,0.9604018182623353,0.0020299355187014777,0.02230728732204455,0.01669584650243963,0.017116432897500977,0.0019377782148902998,0.007147032620605834,0.0020299355187014777,0.0018007233237289947,0.011721708124106391
Corpus,0.9956931354579318,0.9670864184456276,0.9699598526184461,0.9683790766770274,0.003919602338053248,0.019315263331875464,0.004306864542068212,0.9990668152430946,0.988690159923939,0.0017936428775597063,0.017772221454647533,0.014377485790020655,0.011206217232472988,0.0013861936173345613,0.004607754438123661,0.0017936428775597061,0.000574304678047229,0.006799670655139951
Kidney,0.9966157393720806,0.977793046180944,0.9892489353464964,0.9833639644054429,0.002771345671282315,0.016536442150614762,0.003384260627919344,0.9970231986252326,0.9952133172244464,0.0013414846860109754,0.014359627099587097,0.010600043493858666,0.0063491463935910555,0.001205222923513536,0.0049644242900503234,0.0013414846860109752,0.003148880635003863,0.0026896896655374944
Liver,0.9958467451073139,0.9554346934391733,0.9767664018673464,0.9659001573837213,0.003375723166499203,0.01703093274753899,0.004153254892686098,0.9991987178433556,0.9931932547258114,0.0017942408318347796,0.018036603878100382,0.019042319410388635,0.016192632514392548,0.001103531172767586,0.003898849532895921,0.0017942408318347796,0.0009326196730149127,0.0054604289918938655
Prostate,0.9956930172056998,0.9714834054834055,0.9713864919023003,0.9712243065758421,0.0035730706280997374,0.016894226206238986,0.004306982794300263,0.9994157877142189,0.987525865639609,0.0011510904295464316,0.01609084277042089,0.016958776999229305,0.008533703371763608,0.0011073493850866192,0.004445667107613033,0.0011510904295464316,0.0005817909280163406,0.015644637640055453
Stomach,0.9952314787441612,0.9607356764138375,0.9622728207508551,0.9613755841557792,0.0039546449314090395,0.01920322375113286,0.004768521255838709,0.9988636120661389,0.9888595689211239,0.001970247986976163,0.024848643664828324,0.0064970678017314595,0.0143154564682463,0.0017010522190240597,0.00621578807230231,0.001970247986976163,0.0007764983646493192,0.004590641380985165
Thyroid,0.9964618932182343,0.9730375565692672,0.9805168787557441,0.976680758060722,0.0032789465095622423,0.01597691293088223,0.003538106781765538,0.99960452963675,0.9953405948342958,0.0015076681000052666,0.01552988438081877,0.01239966053655611,0.010742549459824911,0.0012134911907382502,0.003654255216106307,0.0015076681000052666,0.0001494049046244062,0.0018124643853995748
Normal,0.9820029563058004,0.9186996845784238,0.8878189509980894,0.9027466574085018,0.014598627780406877,0.05780042753635095,0.017997043694199744,0.9922952263311128,0.9556571668259494,0.0014241702346013247,0.013346525320963773,0.019677178985149,0.008185490512073304,0.0012296319006125038,0.004853595087802385,0.001424170234601325,0.0013379810176499616,0.003965770500833107
macro,0.9653901732395198,0.9614250460702772,0.9630437280222534,0.9620338453075046,0.004864966508311639,0.022830550798121883,0.0346098267604801,0.9978549935114123,0.9989735769580059,0.0034030362329962654,0.0028189484818511327,0.00461510760400558,0.003617114832827573,0.00042082136618075655,0.0013591565424638421,0.003403036232996265,0.0004952112460366304,0.00021687979585683015
micro,0.9653901732395198,0.9653901732395198,0.9653901732395198,0.9653901732395198,0.004864966508311639,0.022830550798121883,0.0346098267604801,0.9983835318497034,0.9897190939230939,0.0034030362329962654,0.0034030362329962654,0.0034030362329962654,0.0034030362329962654,0.00042082136618075655,0.0013591565424638421,0.003403036232996265,0.0005642783069475934,0.0014217624846124045
