,Accuracy,Recall,Precision,F1-score,Brier Score,Log Loss,ME,AUC,AUPR,Accuracy,Recall,Precision,F1-score,Brier Score,Log Loss,ME,AUC,AUPR
Bladder,0.99184769112517,0.9431701520219367,0.9308757408995753,0.9364715545983527,0.006968921923351129,0.028581781358765535,0.008152308874830006,0.9960576595761046,0.9738210053378117,0.0013390854766660298,0.0153186133466414,0.03030323606404432,0.010237885647326162,0.0009433576601692991,0.005829119598105112,0.0013390854766660298,0.0032150865152435694,0.011748492925445981
Brain,0.9990772778336192,0.9966239316239317,0.9933975115793299,0.9950041589855777,0.0009028039483543124,0.0038780533671418068,0.0009227221663808738,0.9999718047645955,0.9997227847220758,0.0008965220733822703,0.004135374496889881,0.0061851536561268175,0.004880327684298982,0.0007670825116586407,0.002318358941126485,0.0008965220733822703,2.8622823573586666e-05,0.0002806292383114981
Breast,0.9960009460178559,0.9811515899969127,0.9859684451829377,0.9835072345309392,0.0036232264510521277,0.01506966478800704,0.003999053982143908,0.9995855028690535,0.9976449939066189,0.0016413876074920846,0.012011863601241199,0.006108138345723206,0.006725215156916538,0.0010913000804312185,0.0034933122294673,0.0016413876074920844,0.0003175997076483948,0.0013484840422467348
Bronchus & Lung,0.9933855614024715,0.9798726763432646,0.9693963706109455,0.9745533810901449,0.005772404140553378,0.024578137598492998,0.006614438597528504,0.9992502040731834,0.9955562980709047,0.0023130043780949195,0.012641187151588339,0.009942564616929937,0.00881689625776937,0.0009497517828230954,0.0035013552831606345,0.0023130043780949195,0.0005226424272760997,0.002763404620640661
Cervix,0.9932315969963932,0.9120117217466015,0.9418771230771601,0.9265933484589084,0.0060305328321560835,0.02487644000914112,0.0067684030036067044,0.9957262224377688,0.9605338154320325,0.0020299355187014777,0.02230728732204455,0.01669584650243963,0.017116432897500977,0.0015906587920772697,0.005497950711004779,0.0020299355187014777,0.0023930375394103196,0.008486942136768682
Corpus,0.9956931354579318,0.9670864184456276,0.9699598526184461,0.9683790766770274,0.0036807496129198174,0.015276711949744306,0.004306864542068212,0.9992095799347643,0.9892886190769608,0.0017936428775597063,0.017772221454647533,0.014377485790020655,0.011206217232472988,0.0012898657556672003,0.005096381114287464,0.0017936428775597061,0.0005871830577249225,0.007304890749281467
Kidney,0.9966157393720806,0.977793046180944,0.9892489353464964,0.9833639644054429,0.002897112457010467,0.014663189973747073,0.003384260627919344,0.9984983242105562,0.9957508394799269,0.0013414846860109754,0.014359627099587097,0.010600043493858666,0.0063491463935910555,0.0010239801984679628,0.003864112309770057,0.0013414846860109752,0.0012387409471503266,0.001956095295442414
Liver,0.9958467451073139,0.9531358428644605,0.9792969492214232,0.9659407318935622,0.003028623085007156,0.011706769271970948,0.004153254892686098,0.9996105288140849,0.9949895408317447,0.001426838536751963,0.017323434793984377,0.015306041488696246,0.013139149973412888,0.0007650851867603785,0.0022665953006874837,0.001426838536751963,0.00017301251723616425,0.002316599654614258
Prostate,0.9958468633595459,0.9735036075036074,0.9714088883188736,0.9722926255758957,0.0031995427252675375,0.012930366652765517,0.004153136640454092,0.9994321301139605,0.9879207560272756,0.0010431224638784637,0.012065889002880517,0.016982558237788884,0.007834405704283426,0.0010545472130799691,0.005228378267752036,0.0010431224638784637,0.0005523389528226204,0.014753024260497842
Stomach,0.9953853248980075,0.9632048122163066,0.9623677574597158,0.9626799319818662,0.0040579892247896935,0.016903831514135485,0.004614675101992561,0.9989067540584202,0.9882266396648023,0.0018842234134054062,0.023041439454310614,0.006496225630982221,0.013493040797826334,0.0014364330874928662,0.004859431863632525,0.0018842234134054062,0.0006990951429788288,0.00539289474728949
Thyroid,0.9960005912611601,0.9730375565692672,0.9743973517022859,0.9736267782526055,0.003200016455060775,0.011912090562528937,0.003999408738839971,0.9996610338421894,0.995988373099879,0.0015689875035857623,0.01552988438081877,0.014173499093971037,0.01142174055712571,0.0009249936471542324,0.002649294483611869,0.0015689875035857625,0.00013893423993528421,0.0017256740298947659
Normal,0.9818493466564181,0.9168531884716383,0.8876035549206518,0.9017135344140709,0.01329087900629973,0.05094229305191807,0.01815065334358188,0.9933314298375414,0.9596336547287312,0.001651938876785981,0.017693089107102523,0.01969242308722002,0.010354635505829867,0.0013103585133511962,0.006599277360252751,0.001651938876785981,0.00261456974839346,0.0050327754582855
macro,0.9653904097439838,0.9614537119987082,0.9629832067448201,0.9620105267386995,0.004721066821818517,0.0192766108415299,0.034609590256016086,0.9981872807794658,0.9990777209468649,0.003329975534041895,0.0023566527180210422,0.004470917034220794,0.0033447226778385315,0.0002801579571296987,0.0006674416361877678,0.003329975534041895,0.0002636170241688105,8.025773078410025e-05
micro,0.9653904097439838,0.9653904097439838,0.9653904097439838,0.9653904097439838,0.004721066821818517,0.0192766108415299,0.034609590256016086,0.9986497856343977,0.9909433699939401,0.003329975534041895,0.003329975534041895,0.003329975534041895,0.003329975534041895,0.0002801579571296987,0.0006674416361877678,0.003329975534041895,0.00018503516084036336,0.0008929342631414521
