,Accuracy,Recall,Precision,F1-score,Brier Score,Log Loss,ME,AUC,AUPR,Accuracy,Recall,Precision,F1-score,Brier Score,Log Loss,ME,AUC,AUPR
Bladder,0.9866175131555608,0.8493984292176805,0.9383227232143027,0.8910044667006692,0.011709752540386763,0.04376990031583712,0.01338248684443919,0.9966690552101518,0.9616286207331569,0.0031375479538280513,0.03591541011262915,0.017377201533150956,0.018233977327914475,0.0023184342980314154,0.006330469523975312,0.003137547953828051,0.0015766593314734882,0.014975238361220503
Brain,0.9989233134275409,0.99491452991453,0.9934595891030863,0.9941709244498945,0.0011825854978315797,0.010081769180488793,0.0010766865724590514,0.9999335443039991,0.9993056322642249,0.000922958784476138,0.006816741668919815,0.005964500935935745,0.005065993160121645,0.0008250265581592243,0.002151805941646465,0.000922958784476138,7.57459889216792e-05,0.0008067219967073849
Breast,0.9940009460178562,0.9849490583513429,0.9666159762876827,0.9756226347778856,0.004841654241157035,0.026303957562613445,0.005999053982143887,0.9986988775726637,0.9952623782534289,0.003349424937004036,0.010235932465626235,0.019553806194810883,0.013278473903830664,0.0013123838992485665,0.005435526964583361,0.0033494249370040357,0.001664425399810768,0.004728288972281654
Bronchus & Lung,0.9810799976349553,0.9738345743554815,0.8899890316640139,0.930013283762688,0.010503506517396396,0.04489769152548388,0.018920002365044652,0.9977778521543623,0.9899172335283888,0.0026899849882353897,0.010234364751487502,0.010416350405939077,0.009777871912629339,0.0008122763177727499,0.002380421409911214,0.0026899849882353897,0.0007288438731945688,0.0014409202433661285
Cervix,0.990770413291551,0.8561560649298843,0.9443415779363284,0.8963332916008465,0.00937892369984408,0.03824415633156969,0.009229586708449112,0.9931421857449048,0.9376100748140537,0.0021765504667484344,0.052987990867898085,0.029571374159573456,0.020093485494373207,0.0019245374211772298,0.006697525477518742,0.0021765504667484344,0.0032521844897677216,0.017397024450116993
Corpus,0.9938472181162419,0.9496756815502794,0.9606557289345584,0.9550289324162728,0.005821133573321124,0.025722400694681825,0.0061527818837580515,0.998498541426209,0.9844950192818214,0.0022815494261142397,0.020979389978174345,0.008763907379708983,0.012813925378873908,0.0021657710186863935,0.006684197859277768,0.0022815494261142397,0.0008817343177937615,0.008620063304921405
Kidney,0.9972314787441613,0.9835636535263544,0.9890160016893168,0.9862328951534135,0.0024889581016122675,0.016540138572652113,0.0027685212558387073,0.998518129482538,0.9958330123689049,0.001248804407982488,0.00666632657847631,0.011692021681884105,0.006491317235016594,0.000464442835970162,0.0023145480718775426,0.001248804407982488,0.0013406491075893057,0.0030958747513414324
Liver,0.9966157393720806,0.9458392030708105,1.0,0.9721218726533035,0.004064911570677955,0.019996139792685746,0.003384260627919344,0.9990158799508662,0.9916633875170955,0.0007849517247188832,0.012722063430637363,0.0,0.006725120105010222,0.0007953419488974152,0.0030393966730611504,0.0007849517247188832,0.0010471187314137133,0.006911990000881215
Prostate,0.9961545556672382,0.9733463203463202,0.9753602717414598,0.9742880452880452,0.003436567395089516,0.017619161581558136,0.0038454443327617716,0.9990871720542023,0.9859118423539399,0.0013756458769729615,0.015357173889947331,0.008476199528413324,0.0096085320597825,0.001502283524453508,0.0053038866808581475,0.0013756458769729615,0.0008738381906721698,0.015209976561855775
Stomach,0.9932320700053214,0.9452965119172015,0.9445948159523476,0.9445278550477116,0.006239835044395619,0.02714137131358607,0.006767929994678656,0.9990663069063712,0.9870126742218439,0.0022495983872445166,0.03606336051001859,0.012177988315571422,0.018315145678017453,0.0016578483467822275,0.0049204737865212915,0.0022495983872445166,0.0004872373494498309,0.006220857793643469
Thyroid,0.9973849701413113,0.9895063334068691,0.9775217616516677,0.9833428300094967,0.0024564897073260346,0.01393243162743076,0.0026150298586886,0.9997750656294515,0.9974898169308567,0.001726982146963977,0.011783958235982385,0.01902507122630307,0.011116978189734207,0.0013334494161263081,0.003941514407026301,0.001726982146963977,0.00015987269823775166,0.0018581188363798436
Normal,0.9861555016850942,0.926046724429721,0.9214310393032921,0.9235940943109953,0.01055201475079201,0.04393681271316481,0.013844498314905663,0.9922028866875738,0.9693596493262906,0.0017570207524847028,0.007156909261088424,0.023635151797004195,0.013257482402991278,0.0009384189175187866,0.004347854366856037,0.0017570207524847028,0.003844528499994435,0.00765659726678417
macro,0.9560068586294566,0.9477105904180396,0.9584423764565047,0.9521900938476019,0.006056361053319199,0.027348827600979363,0.04399314137054335,0.9973892040641619,0.9989335853726409,0.002973855709177703,0.0019459127877267507,0.003202838626096978,0.002294573239877545,0.0002368413847829546,0.0008467946144741045,0.0029738557091777036,0.0005334182066065743,9.848539213594098e-05
micro,0.9560068586294566,0.9560068586294566,0.9560068586294566,0.9560068586294566,0.006056361053319199,0.027348827600979363,0.04399314137054335,0.9979418056543009,0.9871553559281299,0.002973855709177703,0.002973855709177703,0.002973855709177703,0.002973855709177708,0.0002368413847829546,0.0008467946144741045,0.0029738557091777036,0.0003112581154681936,0.0013043319769869715
