,Accuracy_avg,Recall_avg,Precision_avg,F1-score_avg,Brier Score_avg,Log Loss_avg,ME_avg,AUC_avg,AUPR_avg,Accuracy_std,Recall_std,Precision_std,F1-score_std,Brier Score_std,Log Loss_std,ME_std,AUC_std,AUPR_std
Bladder,0.9869254419677173,0.8536231678936386,0.9384933110367892,0.8934949678642063,0.021076509036362562,0.08247486505498566,0.01307455803228288,0.9945987097752571,0.9524318939101022,0.002662648775012173,0.029873906667846443,0.022586186404049406,0.01588079631478816,0.0025680979232286225,0.0056815645120717115,0.002662648775012173,0.002412710157695093,0.019124637629712588
Brain,0.9987694672736949,0.99491452991453,0.9921173072238917,0.9934975237764938,0.0024620818802039194,0.01522974973274654,0.0012305327263052001,0.999916215790494,0.9991042381629509,0.0007843719130064806,0.006816741668919815,0.005022350438669792,0.004430299511845249,0.0009597843622610469,0.002120803806635782,0.0007843719130064806,9.525641204863601e-05,0.0010589693251164167
Breast,0.9944623662271626,0.9849490583513429,0.9701573551150545,0.9774233366121349,0.015416812538589647,0.07246915511150026,0.005537633772837447,0.9992409172244467,0.9957419786523838,0.003053801110891331,0.010235932465626235,0.018141116381777594,0.012160145069101335,0.0013836565170242245,0.003424831200853989,0.003053801110891331,0.0005871153256032564,0.003013175092656251
Bronchus & Lung,0.9835415360964938,0.9679242102098232,0.9104558388880424,0.9382030633906971,0.0253728800712634,0.10654260786025323,0.016458463903506183,0.9972904429934996,0.9877455789939852,0.003019002165533305,0.014159083704259239,0.0157917744922987,0.011218893309281145,0.0008338664830835633,0.0009531951367178286,0.003019002165533305,0.0004798650182976121,0.0005454657634884593
Cervix,0.9909243776976291,0.870881278959158,0.932227013439082,0.8993913256377477,0.015484037332016132,0.06265558394547062,0.009075622302370934,0.9907078687295297,0.9280465274682289,0.0015694413601314021,0.04240350256464366,0.022183368513332025,0.013690727391128778,0.002452752770071563,0.005330010430560448,0.0015694413601314021,0.002026987963496531,0.01887251126997978
Corpus,0.9938470998640099,0.9581666174479295,0.952142191525567,0.9550353721302415,0.01125951541672415,0.05101296671504957,0.006152900135990058,0.9976780710238607,0.9800607684623233,0.0018842238290042346,0.014099325249562672,0.015228224307010397,0.01059061750114796,0.0026333803991618592,0.006539220080972226,0.0018842238290042346,0.001363877657061921,0.010915329979064916
Kidney,0.9975390527996216,0.9835636535263544,0.9921558480395204,0.9878083792480835,0.006736163771316607,0.037544457968498555,0.002460947200378416,0.9985239155687893,0.9957483891210354,0.0010196980818385248,0.00666632657847631,0.00856150057063787,0.005176789144033786,0.0006429029168271158,0.002257070528880589,0.0010196980818385248,0.0012884745030501328,0.002682194752614756
Liver,0.9964618932182345,0.9481380536455231,0.9946666666666667,0.9707575795676482,0.0084795308543888,0.04039262779697177,0.003538106781765493,0.9995712290632739,0.9950928174361726,0.0010438539874478047,0.01485315971412972,0.010666666666666647,0.009356332482883974,0.0012923793888872568,0.003740995290487542,0.001043853987447805,0.00031416503684768206,0.0028899258089974517
Prostate,0.9961545556672382,0.9756190476190476,0.9735343373304378,0.9744813852139934,0.004586521662159943,0.023896453543763418,0.0038454443327617716,0.9993564395713671,0.9871893951840851,0.0012867459688299702,0.014923081402975413,0.010220450380447344,0.008552580848098706,0.0014301831471345051,0.003557133208263993,0.0012867459688299702,0.000501334511582579,0.013425328052936914
Stomach,0.9933859161591675,0.9554988527862092,0.9379288240495137,0.9463779983599215,0.01475947229483895,0.06402189160328439,0.006614083840832485,0.9979326695372969,0.982475574442842,0.0020970385719099698,0.02925498469370422,0.013667694149874312,0.016565925683836143,0.0020166477672557965,0.004862642318602666,0.0020970385719099698,0.001508573219581721,0.008964177407753777
Thyroid,0.9972311239874653,0.9895063334068691,0.9753717377625133,0.9822852506910478,0.003924212464366661,0.01952599075721642,0.002768876012534749,0.999705332178322,0.9965340354590586,0.0017942304429396216,0.011783958235982385,0.018194491459799286,0.01178177629461531,0.001179759422083412,0.0031936246961477726,0.0017942304429396216,0.0002400243028222036,0.002864850560995504
Normal,0.9858478093774019,0.9225069014208713,0.9210924475372282,0.9216689274114455,0.012314405477535362,0.056947926576456386,0.014152190622597982,0.9933195804175412,0.9726064814984687,0.002100853279052256,0.011901484657368545,0.02388822824467201,0.015301838052119918,0.0009029341197059012,0.003492574696510259,0.002100853279052256,0.0027131801207813185,0.008011289766141187
macro,0.9575453201679182,0.9504409754317746,0.9575285732178589,0.9533687591586384,0.011822678566647178,0.052726189722183056,0.04245467983208182,0.9971091340724663,0.9987063736179866,0.0024459103862093778,0.0011555859352785983,0.00327023766952445,0.0017023449491144296,0.00030186105466451744,0.0011015154146910852,0.0024459103862093778,0.0004951724606873738,0.00016785151639612825
micro,0.9575453201679182,0.9575453201679182,0.9575453201679182,0.9575453201679182,0.011822678566647178,0.052726189722183056,0.04245467983208182,0.997792798829092,0.9849799219296269,0.0024459103862093778,0.0024459103862093778,0.0024459103862093778,0.0024459103862093778,0.00030186105466451744,0.0011015154146910852,0.0024459103862093778,0.0003248247082856524,0.001420509638772543
