,Accuracy_avg,Recall_avg,Precision_avg,F1-score_avg,Brier Score_avg,Log Loss_avg,ME_avg,AUC_avg,AUPR_avg,Accuracy_std,Recall_std,Precision_std,F1-score_std,Brier Score_std,Log Loss_std,ME_std,AUC_std,AUPR_std
Bladder,0.9706207059658251,0.7649945527312173,0.7766017107676662,0.7692953153180963,0.024649091921602834,0.09559591781491775,0.029379294034174896,0.9674291500036627,0.7388906215381318,0.005961717612473456,0.06551795827817794,0.03351951717161703,0.03941390610283966,0.00476288469553061,0.014959736380768683,0.005961717612473456,0.007403709723845471,0.08708945885656569
Brain,0.9956934902146278,0.9575762321762321,0.9965476190476192,0.9764989618069226,0.004366216682251905,0.0288236213071835,0.004306509785372193,0.9910392361672227,0.9759530423202423,0.0026897219888415078,0.02773686605884284,0.004232473532055027,0.015664346663999726,0.002592455275127835,0.011565005250620914,0.0026897219888415073,0.005692253075646011,0.01762039585727629
Breast,0.9772338437888015,0.8822567859616331,0.9273631590946596,0.9034119408762409,0.02085316576845557,0.08665107595844461,0.022766156211198506,0.9884495775363134,0.9562900917472564,0.0035308313858140915,0.03810723402351688,0.02064918218052144,0.015547602049207883,0.003013784095845634,0.010454859801741608,0.003530831385814091,0.0034799115626208215,0.008732545848183193
Bronchus & Lung,0.9470852007331638,0.8403896717504088,0.7718765036151845,0.8040318412227722,0.04264821105914187,0.14999102422002936,0.052914799266836156,0.9707871572052034,0.7940871722390288,0.004546579239825225,0.018972903817033822,0.03166587128741854,0.014429104728313998,0.0025014381661784663,0.004977802368906287,0.004546579239825225,0.004800392626708646,0.08769931297695051
Cervix,0.9806175131555609,0.8242606400932828,0.7791974292919572,0.7974329069703973,0.01630173327074315,0.06585782642938749,0.019382486844439172,0.974814995913259,0.8401096316476243,0.003967312960921056,0.051538374606927395,0.07717696766437022,0.04215508323015003,0.002546845599842029,0.009433801749072938,0.003967312960921056,0.01007677961562222,0.04768777137163345
Corpus,0.9889249689587892,0.9461379770683005,0.8974086712408346,0.9207662595161832,0.01016351707779498,0.04660724040161819,0.011075031041210904,0.9832713409264116,0.8614278348245537,0.0020970750736265423,0.014192872513930394,0.025361666984597898,0.010237508829554166,0.0018514022984987,0.00827223652886394,0.0020970750736265423,0.006458731544829043,0.17746272721152676
Kidney,0.9830798793827233,0.8483130015949076,0.9858966108966107,0.9111910599830271,0.015856967609564832,0.0717356784558705,0.016920120617276657,0.9808596526540683,0.9480063262550248,0.005350275107422526,0.047028744244048494,0.009263578622902282,0.027500381680639785,0.004167516628600383,0.011683102551534263,0.005350275107422526,0.004960175442019385,0.0123588991133622
Liver,0.9900014190267843,0.917173859036555,0.9205993027093106,0.9180332179944086,0.00949129671306216,0.04553477011514965,0.009998580973215866,0.9848807895019505,0.9455575095206227,0.0034404230407472833,0.0401712358286839,0.046143021633067945,0.032708504682881764,0.003109363362085039,0.012281550915527276,0.003440423040747283,0.008263611300763269,0.02640346356255048
Prostate,0.9930783421037074,0.9484386724386724,0.9585323952563323,0.9531411332288906,0.00683938571522767,0.036640569845271934,0.0069216578962927764,0.9916153458129013,0.9586381211696706,0.0029581844347274597,0.03514566494061816,0.01751752102463923,0.02161347450293408,0.0027951991916020484,0.012744024260817444,0.0029581844347274593,0.007105745854269121,0.023209745783628895
Stomach,0.9838488736474901,0.8571540833972776,0.8758744354812839,0.866025539332148,0.014502644357740357,0.06277791840340874,0.016151126352509905,0.9791210630209329,0.8597568248652745,0.002793261866949652,0.03594923492558369,0.017801017769627975,0.021943616680777437,0.002425945741320253,0.00914155742618457,0.0027932618669496523,0.005876294758113659,0.09044450037157017
Thyroid,0.9883094660911725,0.9530813663954391,0.8990373127469902,0.9252189018908293,0.010908300329466667,0.047836866289226995,0.011690533908827506,0.98885330918589,0.9310243753222686,0.003314031817209025,0.021775020364220528,0.029933198603433315,0.02559532870603527,0.0027523462475826104,0.01014405653466209,0.003314031817209025,0.004265638274944458,0.022277844430981124
Normal,0.9596986933128363,0.8078258238937348,0.7634186898771942,0.7833807803717038,0.033926590592253995,0.12519449641349809,0.040301306687163696,0.9609927896285122,0.6415388837331248,0.0030200230675646363,0.027521899869382246,0.059298779594414784,0.031342025951966924,0.0014740396075977197,0.005464776361502939,0.0030200230675646363,0.006119538802490627,0.09057980146926589
macro,0.879096198190741,0.8789668888781386,0.8793628200021371,0.8773689882093016,0.017542260091442167,0.07193725047116724,0.12090380180925915,0.9796987079056387,0.9963374133313978,0.0051413075275276,0.006814464480684726,0.0033344371367707505,0.0046653366014399135,0.0006845024693382333,0.0022546380954312386,0.0051413075275276,0.0017122351943150173,0.0016497567442401407
micro,0.879096198190741,0.879096198190741,0.879096198190741,0.879096198190741,0.017542260091442167,0.07193725047116724,0.12090380180925915,0.9811969248676903,0.9056411351827517,0.0051413075275276,0.0051413075275276,0.0051413075275276,0.0051413075275276,0.0006845024693382333,0.0022546380954312386,0.0051413075275276,0.0011178380194755359,0.004729327371779838
