,Accuracy_avg,Recall_avg,Precision_avg,F1-score_avg,Brier Score_avg,Log Loss_avg,ME_avg,AUC_avg,AUPR_avg,Accuracy_std,Recall_std,Precision_std,F1-score_std,Brier Score_std,Log Loss_std,ME_std,AUC_std,AUPR_std
Bladder,0.9709282800212854,0.769161219397884,0.7772700204071258,0.7719647266313933,0.02716258138668287,0.43265696813937193,0.029071719978714584,0.9810011990904558,0.8573871318247172,0.005508267538996276,0.061668994782745186,0.030946893743169,0.03701839053585472,0.005429787541917978,0.09024999630032621,0.005508267538996276,0.0069468355225277435,0.03088021032548214
Brain,0.9956934902146278,0.9575762321762321,0.9965476190476192,0.9764989618069226,0.004306499666048305,0.1284604448716657,0.004306509785372193,0.9977216295169162,0.9943399738716581,0.0026897219888415078,0.02773686605884284,0.004232473532055027,0.015664346663999726,0.0026897150049364485,0.0824987022057852,0.0026897219888415073,0.002570310839476622,0.005141729651723641
Breast,0.9772338437888015,0.8822567859616331,0.9273631590946596,0.9034119408762409,0.021906709843849077,0.4154036393840263,0.022766156211198506,0.9949604809457806,0.9692699045897157,0.0035308313858140915,0.03810723402351688,0.02064918218052144,0.015547602049207883,0.0033436149707851202,0.08899475414073864,0.003530831385814091,0.002126208565304681,0.010673951080252351
Bronchus & Lung,0.9473928930408562,0.8391848524733003,0.7743308905131787,0.8047356061840887,0.04994582666563346,0.8121184918958375,0.052607106959143855,0.9789096900841319,0.8961304905613188,0.004925842260751179,0.020412032817889225,0.033914518942645445,0.015953958879948486,0.004475973210673249,0.05331545257043904,0.004925842260751178,0.002152162152346737,0.015429840070887147
Cervix,0.9806176314077929,0.8270775415017336,0.7772208125583073,0.7978683965878935,0.01837661519315225,0.35370033482774255,0.019382368592207166,0.978176234524098,0.8575954168472333,0.0036888006115597264,0.04987769702429014,0.07466887881433557,0.04037618916975059,0.003882162023753642,0.10277473983700376,0.0036888006115597264,0.0023010260961970974,0.0373974189715894
Corpus,0.9889249689587892,0.9461379770683005,0.8974086712408346,0.9207662595161832,0.010836005768868503,0.2494932482615825,0.011075031041210904,0.9940067880019615,0.9600134826398424,0.0020970750736265423,0.014192872513930394,0.025361666984597898,0.010237508829554166,0.0021827462344899367,0.05375759444561005,0.0020970750736265423,0.0027440294595700433,0.007938082083448435
Kidney,0.9827723053272631,0.8452456611318684,0.9858446898166523,0.9093774454241281,0.016741432640387778,0.4025321531413348,0.017227694672736948,0.9895783828119578,0.961776305310765,0.005363214948049022,0.047582971492397236,0.00934048447096618,0.027798392989703345,0.005067030299009189,0.14732078568650378,0.005363214948049023,0.00465938536845297,0.014258511356613615
Liver,0.9900014190267843,0.917173859036555,0.9205993027093106,0.9180332179944086,0.009607937205364002,0.19858966328544417,0.009998580973215866,0.9956130675786643,0.9697236188567379,0.0034404230407472833,0.0401712358286839,0.046143021633067945,0.032708504682881764,0.003618537793392244,0.08968847253849822,0.003440423040747283,0.0023861366850950515,0.013741593459687155
Prostate,0.9930783421037074,0.9484386724386724,0.9585323952563323,0.9531411332288906,0.006927900302474086,0.19264972510931488,0.0069216578962927764,0.9983669443062715,0.9790077526719297,0.0029581844347274597,0.03514566494061816,0.01751752102463923,0.02161347450293408,0.0029610979733393264,0.08141705755439889,0.0029581844347274593,0.0006819981486259656,0.00927589617890596
Stomach,0.9838488736474901,0.8571540833972776,0.8758744354812839,0.866025539332148,0.015090254689686371,0.250428116073823,0.016151126352509905,0.987266671992382,0.9131784706709665,0.002793261866949652,0.03594923492558369,0.017801017769627975,0.021943616680777437,0.0025865448407042116,0.07068777496499942,0.0027932618669496523,0.005806382578322069,0.02461096255793659
Thyroid,0.9883094660911725,0.9530813663954391,0.8990373127469902,0.9252189018908293,0.011519987850620939,0.37681080855193133,0.011690533908827506,0.9920585509814825,0.9434165387783213,0.003314031817209025,0.021775020364220528,0.029933198603433315,0.02559532870603527,0.0033585675484141663,0.10380850142501889,0.003314031817209025,0.002859463149610979,0.01581645957233931
Normal,0.959391119257376,0.8078258238937348,0.7609859746117635,0.7820994660487802,0.03970566613635484,1.0215362888872435,0.04060888074262399,0.9696809794942741,0.8074743465156302,0.0030111315962754307,0.027521899869382246,0.05912548775292771,0.031194995266530665,0.0027130563121187056,0.0994205329378351,0.0030111315962754307,0.005773919470379284,0.047287934750919136
macro,0.8790963164429728,0.8791928395727193,0.8792512736236715,0.8774284662934922,0.019343951445760208,0.40286499020244315,0.12090368355702714,0.9881716989392364,0.8780861104740382,0.005601123500048902,0.00749656149246826,0.0035417234506918433,0.0050593899391743885,0.0008374354371729903,0.012453374398674133,0.005601123500048902,0.0008854775473246027,0.018465361776076796
micro,0.8790963164429728,0.8790963164429728,0.8790963164429728,0.8790963164429728,0.019343951445760208,0.40286499020244315,0.12090368355702714,0.987371331640315,0.9304064288691871,0.005601123500048902,0.005601123500048902,0.005601123500048902,0.005601123500048923,0.0008374354371729903,0.012453374398674133,0.005601123500048902,0.0011313085017840418,0.004054743563169167
