,Accuracy,Recall,Precision,F1-score,Brier Score,Log Loss,ME,AUC,AUPR,Accuracy,Recall,Precision,F1-score,Brier Score,Log Loss,ME,AUC,AUPR
Bladder,0.9869250872110211,0.8772714760992244,0.9147565205389183,0.8953675757348751,0.010584362563501794,0.041166146557919454,0.013074912788978876,0.996517551247282,0.9591696826242433,0.0008426596801960622,0.013456911031836058,0.018044865239692866,0.004567762690013481,0.0015094936461244406,0.004636605985582732,0.0008426596801960622,0.001277658647552912,0.014948286664319924
Brain,0.9990770413291552,0.9965811965811966,0.9936933860404858,0.9951248037627858,0.001239561445218431,0.010057885934477798,0.0009229586708449089,0.9999196616806788,0.9991418758716151,0.0007537133264807306,0.006837606837606858,0.0032181333658572466,0.004274776202769825,0.000869795294404723,0.0022656826652200424,0.0007537133264807306,9.04492807298325e-05,0.0009943438615212974
Breast,0.9949241411931651,0.9874343933312751,0.9714996267518525,0.9793927331617146,0.004772429162053637,0.025801069437324065,0.005075858806834988,0.9990596442612011,0.9958097233405816,0.0028610180059685775,0.008952635414150376,0.014131820220060884,0.011495912371331756,0.0012031332802997375,0.004425319398182109,0.002861018005968577,0.001094184000278017,0.003540410266316017
Bronchus & Lung,0.9846181044167208,0.9630826898119598,0.9215537028476224,0.9417963281629402,0.009563925083517418,0.04122000179306553,0.015381895583279136,0.9979665630501863,0.9906532568670604,0.0016815806095526857,0.005635712005835843,0.011968336141591,0.00561688248297154,0.0008947156593712474,0.0027409222756082934,0.0016815806095526857,0.0009374336167196532,0.0020908930021493275
Cervix,0.9904626027316266,0.8735739053054712,0.9202408928928826,0.8949395596752341,0.00888351645703166,0.03753720883626853,0.009537397268373438,0.9931863231766588,0.9376284351766004,0.002042364305232098,0.03727260764573955,0.04259156111465026,0.018730885107173943,0.0016666302810387197,0.005727924517135204,0.002042364305232098,0.0034671315232770042,0.01666257218864975
Corpus,0.9936934902146278,0.9565107390797223,0.953146063261497,0.954731868798887,0.005835680501922065,0.025910661953845403,0.0063065097853721944,0.9988541327404858,0.9853965283271489,0.0026372923231789787,0.020686928779722023,0.015734509571409244,0.01581496455708619,0.0019966932762338326,0.00578985744830401,0.0026372923231789787,0.00046023856371914945,0.00716027044624443
Kidney,0.9972312422396973,0.9836459193625281,0.9893439136995432,0.9864262346511883,0.002485549258004818,0.016588512290590704,0.0027687577603027424,0.9985927538385942,0.9963006611171238,0.0003764593561754591,0.008101176356262379,0.007745483557398483,0.0018235987326586122,0.0005013043505482224,0.0020889820838288034,0.0003764593561754591,0.0014348369993668572,0.0026493649511249826
Liver,0.9955390527996217,0.9459691601978009,0.9818092031425365,0.9634924085842173,0.0039008159192804232,0.01972988178640779,0.004460947200378396,0.999423509399796,0.9934015094737649,0.0008974758114917947,0.00950065991374473,0.013477113274481435,0.008454546697867157,0.0006557296959752649,0.0026952354536574903,0.0008974758114917947,0.000387627032470739,0.00448066523644499
Prostate,0.9963084018210845,0.9753665223665223,0.9753093341416992,0.9752054681287653,0.003490944642313032,0.01775234061078119,0.0036915981789156227,0.9989513609247709,0.9834198746982967,0.0014911553285172228,0.01786189037128691,0.01314521838226154,0.010824290394286454,0.0017238786620049865,0.006091532470816808,0.001491155328517223,0.0010689034267366644,0.016422880045703497
Stomach,0.9941555016850943,0.9473070718128189,0.9562792770133346,0.9512249057657407,0.005685027972978288,0.02664666497347363,0.005844498314905677,0.998584269401414,0.9823534567558344,0.002980456111368191,0.046691302413065405,0.014504743420636915,0.02632202257224847,0.001668683061118521,0.005199555342459033,0.002980456111368191,0.0007086962504351662,0.008090621298624144
Thyroid,0.9972313604919293,0.987444477736766,0.9772778905183086,0.9822295902639226,0.002596826487903966,0.014030625686108567,0.002768639508070714,0.9998033280297195,0.99754559394565,0.0015835414905926734,0.012454168098979892,0.016363705555191236,0.010505872505795096,0.0012377300682710056,0.0036257664491514303,0.0015835414905926734,0.00014145673817465455,0.001902237139093327
Normal,0.9864630757405546,0.9235383942558432,0.9274057857659643,0.9252495687466291,0.010774719552401453,0.04551451218349935,0.013536924259445393,0.9917750911012302,0.9677982424943531,0.0022105719402956627,0.011046944185326497,0.025296668669702555,0.013276786207448826,0.0014237106348500533,0.0062230921948349185,0.0022105719402956627,0.0038757967985409256,0.009662676989144903
macro,0.9583145509371489,0.9514771621617607,0.9568596330512203,0.9537650871197416,0.005817779920510581,0.026829626003646835,0.04168544906285106,0.9974339933054202,0.9989617679080066,0.0023448993792221356,0.0020297196324821983,0.0024585820405703734,0.001795350299607751,0.0002126667426957251,0.0006205997142545892,0.0023448993792221356,0.0004027976341168708,0.00010567698011306286
micro,0.9583145509371489,0.9583145509371489,0.9583145509371489,0.9583145509371489,0.005817779920510581,0.026829626003646835,0.04168544906285106,0.9981142144217034,0.987753382430639,0.0023448993792221356,0.0023448993792221356,0.0023448993792221356,0.0023448993792221356,0.0002126667426957251,0.0006205997142545892,0.0023448993792221356,0.0002975357304509153,0.0012208814753555965
