,Accuracy,Recall,Precision,F1-score,Brier Score,Log Loss,ME,AUC,AUPR,Accuracy,Recall,Precision,F1-score,Brier Score,Log Loss,ME,AUC,AUPR
Bladder,0.9866173949033288,0.8703394798214303,0.9163253096237906,0.8924275829058714,0.02073618105251174,0.08123890900365607,0.013382605096671173,0.9947712730542759,0.9510844212015735,0.0010440357569324638,0.013866269294616922,0.021828561104260784,0.0064125807037940605,0.0024335395373891494,0.0055122530904925405,0.001044035756932464,0.0022617410792203302,0.01961507234955222
Brain,0.9989231951753089,0.9965811965811966,0.9919987205527168,0.9942811076401197,0.0026444360682721622,0.016115683014982098,0.0010768048246910578,0.9999168054754015,0.9991134217120038,0.0010434702789195271,0.006837606837606858,0.0054485883728924035,0.00588393713938457,0.0010342139963463628,0.0021179782268913863,0.0010434702789195271,9.044469741354978e-05,0.0009939326609078075
Breast,0.9952318335008574,0.9874343933312751,0.9738492646314778,0.9805894250519683,0.015855959431313234,0.07260272820678736,0.0047681664991426455,0.999293135944396,0.9954151426001868,0.002637043773673128,0.008952635414150376,0.012462141367035703,0.010643071520954872,0.0012405188512463442,0.0029006187208628765,0.002637043773673128,0.000440555516717077,0.002764495068923823
Bronchus & Lung,0.9852333707798735,0.9607157430332484,0.9276521025640813,0.9438541636297897,0.02304373311542717,0.0978879299692468,0.014766629220126549,0.9971034607772988,0.9874980572012113,0.0019062504592439386,0.005757627122488252,0.011314012743871544,0.006734179197767644,0.0017446703211329607,0.0031147620535819293,0.0019062504592439386,0.0010585399727389181,0.0030988589889688577
Cervix,0.9903087565777804,0.8735739053054712,0.9176407223898988,0.8936857056156245,0.016105751561805978,0.06488872703155965,0.009691243422219586,0.9910292745842773,0.9250100584371109,0.0023140897509967696,0.03727260764573955,0.044290397273849084,0.020009294165421555,0.002411142400547357,0.005454594177745989,0.0023140897509967696,0.0009658044408062519,0.020581707129103857
Corpus,0.9933857979069355,0.9565107390797223,0.9480251528774287,0.9521020920559751,0.012206483529118961,0.05400080258186587,0.0066142020930644915,0.9976505248909128,0.9808565424714265,0.0022075321667544526,0.020686928779722023,0.012223175874069655,0.01212533198712066,0.002695358690102283,0.006247403804758001,0.0022075321667544526,0.0017767400569249482,0.009468405813345217
Kidney,0.9967698220303909,0.9820711162129218,0.9862933078475823,0.984118465185718,0.007075182869674056,0.04348006620140247,0.0032301779696091827,0.9979135188474798,0.9957279869466564,0.0003065097853721888,0.0069885772802331415,0.008745586695302716,0.0020307738357485477,0.0009177236922286075,0.009282023846978207,0.0003065097853721887,0.0024688257908970293,0.002804210813799544
Liver,0.9958467451073139,0.9536055858873951,0.9795637874882616,0.9663031037253678,0.009096396010941508,0.043047257540624786,0.004153254892686098,0.99957495072118,0.9948649207301623,0.0011514378135022581,0.013287720994835252,0.015260800671266131,0.009929398859610954,0.001183848809881255,0.003556374701761817,0.0011514378135022581,0.00024976542856577113,0.002701086418936256
Prostate,0.9958468633595459,0.9753665223665223,0.969514898958719,0.9722705142120688,0.004925420720016355,0.02533922961200056,0.004153136640454092,0.9992698487633076,0.9849737307191843,0.001426481698718271,0.01786189037128691,0.014387389546688225,0.01030572858843649,0.0015666430797639111,0.004030727971630739,0.001426481698718271,0.000569494005385757,0.013563284455723766
Stomach,0.9938476911251699,0.9499044744102216,0.9492444302970618,0.9491045652595158,0.014853636340093596,0.06488593312563477,0.006152308874830004,0.9972546759271079,0.9796825946600514,0.00266247552959313,0.04328519604145428,0.009368811439829355,0.023214555742850803,0.002197371863631514,0.005035908367993692,0.00266247552959313,0.001830294197600883,0.010323778970418125
Thyroid,0.997077514338083,0.987444477736766,0.9751945571849753,0.9811824698450744,0.004257471576298104,0.021375696072846208,0.0029224856619168627,0.9996807062692282,0.9961769892168466,0.0013230227243834977,0.012454168098979892,0.013800598336101002,0.008805889167052139,0.0010396298116524805,0.0025331110814032997,0.0013230227243834977,0.00021362780947615855,0.002674889942736627
Normal,0.9856939632235558,0.916239238792009,0.9251342083897865,0.9205208035603836,0.013270473706799702,0.06578087994296795,0.014306036776444153,0.9923841361164693,0.9716257548072107,0.0022107615600511867,0.013215536591701563,0.023422081685688004,0.015061102946797864,0.001460991253799256,0.009659965750592952,0.0022107615600511867,0.004141441240436583,0.009855774989162793
macro,0.9573914740140721,0.9508155727131816,0.9550363719004817,0.9525366665572899,0.012005927165189379,0.05422032019196456,0.04260852598592797,0.9968784806132585,0.9988046805289951,0.0017865297525113046,0.0009609444449415075,0.002525836696038011,0.0012888332350388548,0.00022350213997144474,0.0006788820035927097,0.0017865297525113046,0.0003675239880438365,6.944830377693148e-05
micro,0.9573914740140721,0.9573914740140721,0.9573914740140721,0.9573914740140721,0.012005927165189379,0.05422032019196456,0.04260852598592797,0.9977465913600355,0.9851490303458693,0.0017865297525113046,0.0017865297525113046,0.0017865297525113046,0.0017865297525113295,0.00022350213997144474,0.0006788820035927097,0.0017865297525113046,0.00029102416037934736,0.0013894408848966011
