,Accuracy,Recall,Precision,F1-score,Brier Score,Log Loss,ME,AUC,AUPR,Accuracy,Recall,Precision,F1-score,Brier Score,Log Loss,ME,AUC,AUPR
Bladder,0.9926164488854727,0.9432282240312283,0.9425283371606902,0.9427200841487631,0.0060125075738609365,0.02598127804906055,0.007383551114527287,0.9976579691574944,0.9817628048222083,0.001794414067344568,0.01311380527950456,0.017967868902113274,0.009933865632669141,0.0009469617543728083,0.004278055707901747,0.0017944140673445677,0.0020474546652513785,0.005612252588081313
Brain,0.9989234316797729,0.9932478632478633,0.9950078882127563,0.9941176197038126,0.000941891622074122,0.007385356356608414,0.001076568320227045,0.9999600131726517,0.9995944226325953,0.0010430170912344638,0.008270748993779817,0.004082034535920483,0.005765422458884731,0.0007986335583225084,0.0023887195068296226,0.0010430170912344638,5.322162758884844e-05,0.0005433334777580446
Breast,0.9964621297226985,0.986168570546465,0.9848144869604013,0.9854648733144409,0.0029443481317928547,0.016762472820928874,0.00353787027730148,0.9979741799002151,0.9962579719953644,0.0015072580716154582,0.00739913830769564,0.008407520700237425,0.006075061406821766,0.0015295746292474384,0.007073120963185872,0.0015072580716154582,0.002366403836379733,0.0038013722898145265
Bronchus & Lung,0.9936932537101638,0.9774273871651618,0.9738658777120316,0.9756204064348836,0.005356089103725868,0.02458234090874898,0.006306746289836207,0.9994054444044143,0.9965386224542442,0.0008972337432503698,0.006709999117034884,0.004790496062167932,0.003403016593709564,0.000679994470921511,0.003052973223710378,0.0008972337432503697,0.00027401869415833536,0.0013610323816528956
Cervix,0.9943082835688524,0.9229178557181872,0.9554557884008255,0.9384270683394108,0.005083545189933031,0.02572040029993859,0.0056917164311476535,0.9964100661814891,0.9575815042910165,0.001859517630533166,0.022106205696617993,0.030201346549913518,0.015237827118932892,0.0014891929385646972,0.00693665441281298,0.0018595176305331658,0.0016835894393216093,0.0253704400972912
Corpus,0.9956931354579318,0.9760894635932511,0.9626602572708748,0.9693020826559353,0.0035379885197397687,0.01630530273470029,0.004306864542068234,0.9989560654697142,0.9883529845520886,0.002040563729548943,0.01323245567882036,0.01195273970652182,0.011577349501885801,0.0015386342863242019,0.004904539717184225,0.002040563729548943,0.0005725902306130232,0.006958977862153903
Kidney,0.997077159581387,0.9851384566759608,0.9864272759520031,0.985729953132009,0.001808415569372596,0.011666260806032214,0.0029228404186129042,0.9983652316629421,0.9966000144420001,0.0010208208841512992,0.007518500587229846,0.009756022966477396,0.00493109520760013,0.0006025302810749723,0.00362516876011049,0.0010208208841512992,0.002070325182036852,0.002996834984320542
Liver,0.997077041329155,0.9580423127251165,0.9946666666666667,0.9759348672349912,0.002625826884059239,0.015393115356623573,0.0029229586708449107,0.9988911519432134,0.9922227255977791,0.00132362711520479,0.01687671293377913,0.010666666666666647,0.011362432517851661,0.0010334818852748943,0.004794864467477103,0.00132362711520479,0.0011807134155373924,0.005343272904896587
Prostate,0.9956930172056998,0.969053391053391,0.9729617036154625,0.9708621867461777,0.00386017819078998,0.01893958718355639,0.004306982794300263,0.9993891476620081,0.9883967042545259,0.0017940179211071692,0.01984491972201498,0.015636100061827928,0.013581126458217392,0.0016866508471893896,0.006821545870923347,0.0017940179211071692,0.0005198793910239659,0.011579179217881796
Stomach,0.9955390527996217,0.9679580257971063,0.9613983156528126,0.9643098294791261,0.0036161303519729694,0.016652266499488196,0.004460947200378396,0.999398896359686,0.9913707490106669,0.0024520528999042415,0.029585204459638678,0.021252645367735433,0.018255593366445614,0.001908667787342121,0.007492923768671234,0.002452052899904242,0.00041305066742266714,0.003963830891171709
Thyroid,0.9966156211198486,0.9754563510802974,0.9809776249534327,0.9781183455828948,0.0030399231199342357,0.015634779606387806,0.0033843788801513506,0.9993102670084205,0.9929739935650851,0.001794382451494627,0.011471882156631315,0.018082840612920443,0.011849462352190676,0.0014325013704000824,0.005786021730229508,0.001794382451494627,0.0004481721608450177,0.004723683783226414
Normal,0.9844633122450187,0.931790699733136,0.9010920241941337,0.9160616390195688,0.012930817078303338,0.05367057215067039,0.015536687754981382,0.9924570233933361,0.9671910422226764,0.002814165648440003,0.01582634087982929,0.019364110154527076,0.01440064519856979,0.002491211968214515,0.008323142788648007,0.002814165648440003,0.0025295886130603205,0.008949163998075946
macro,0.9690809436528115,0.9655432167805971,0.9676546872293409,0.9663890796493344,0.004313138444629912,0.02072447773106202,0.030919056347188566,0.9978716461839904,0.9990274143808987,0.0035936269163014053,0.003649737211984208,0.005264867314304482,0.004287172387576765,0.0005141516894512237,0.0019741456520142964,0.003593626916301406,0.0004146692435787808,8.96183864845035e-05
micro,0.9690809436528115,0.9690809436528115,0.9690809436528115,0.9690809436528115,0.004313138444629912,0.02072447773106202,0.030919056347188566,0.9981928360518395,0.9903205089367599,0.0035936269163014053,0.0035936269163014053,0.0035936269163014053,0.0035936269163014053,0.0005141516894512237,0.0019741456520142964,0.003593626916301406,0.00038585411777233977,0.001156163382200012
