,Accuracy_avg,Recall_avg,Precision_avg,F1-score_avg,Brier Score_avg,Log Loss_avg,ME_avg,AUC_avg,AUPR_avg,Accuracy_std,Recall_std,Precision_std,F1-score_std,Brier Score_std,Log Loss_std,ME_std,AUC_std,AUPR_std
Bladder,0.9926165671377045,0.9432282240312283,0.9422913090569149,0.9425770337286817,0.005714259490017078,0.023252543482824652,0.007383432862295281,0.9974781430364873,0.9823268879978656,0.0015071387582121963,0.01311380527950456,0.01764700757228012,0.008381498510469354,0.000792861886447472,0.003524648452460009,0.0015071387582121963,0.0027734154129869233,0.006423387662013113
Brain,0.9989234316797729,0.9932478632478633,0.9950078882127563,0.9941176197038126,0.0009711325744175294,0.004927034914836246,0.001076568320227045,0.9999519262296171,0.9994983350611921,0.0010430170912344638,0.008270748993779817,0.004082034535920483,0.005765422458884731,0.0007922694504275871,0.0022626014322665138,0.0010430170912344638,7.244453787414513e-05,0.0007653712845129535
Breast,0.9964621297226985,0.986168570546465,0.9848144869604013,0.9854648733144409,0.0030248775219041076,0.01411018753815178,0.00353787027730148,0.999615155389673,0.9979217444696147,0.0015072580716154582,0.00739913830769564,0.008407520700237425,0.006075061406821766,0.0010487389417851573,0.0037091066845512644,0.0015072580716154582,0.0003596023995950645,0.0017558286417272563
Bronchus & Lung,0.9935394075563175,0.9762509165769264,0.9738377007607777,0.9750129811848444,0.005145485781206345,0.02153086804307329,0.006460592443682356,0.9992515651120044,0.9963852644298651,0.0010437160251157269,0.008164100831080863,0.004776304919300142,0.003961248589016957,0.0007128529297332579,0.0023263624329616685,0.0010437160251157269,0.000471579636297468,0.0013781454785401544
Cervix,0.9938468633595459,0.9229178557181872,0.9456069462052851,0.9334138689505812,0.005131494713290838,0.02291805548375829,0.006153136640454115,0.9964410491665967,0.9604573234319972,0.0016142290505453234,0.022106205696617993,0.035035721632973894,0.013604566819431244,0.001211557725877155,0.004290443803515284,0.0016142290505453236,0.0022949136999935176,0.02537265616371613
Corpus,0.9958468633595459,0.9760894635932511,0.9646964046055808,0.970347911093068,0.0035282079123620256,0.016073099902702753,0.004153136640454092,0.9986051554218862,0.9877767247890956,0.0019820043292178573,0.01323245567882036,0.009741590581299907,0.011111965901044154,0.0014056650959252991,0.0041470020025673035,0.0019820043292178573,0.0009688193371331055,0.007162593655337393
Kidney,0.997077159581387,0.9851384566759608,0.9864272759520031,0.985729953132009,0.0019434234433107964,0.010844024738874605,0.0029228404186129042,0.9987992229393414,0.9969934461237054,0.0010208208841512992,0.007518500587229846,0.009756022966477396,0.00493109520760013,0.0005537094659812354,0.0020748970077837897,0.0010208208841512992,0.0015629632665582697,0.0024455668869599588
Liver,0.997077041329155,0.9580423127251165,0.9946666666666667,0.9759348672349912,0.0025589090050576048,0.011738086215581181,0.0029229586708449107,0.9996550448639125,0.9957427168632753,0.00132362711520479,0.01687671293377913,0.010666666666666647,0.011362432517851661,0.0007485249257549274,0.0022542922296023677,0.00132362711520479,0.00017338264146332996,0.002334738194524076
Prostate,0.9956930172056998,0.969053391053391,0.9729617036154625,0.9708621867461777,0.0034317866015943638,0.01382949870956906,0.004306982794300263,0.9994840091708106,0.9885409571343509,0.0017940179211071692,0.01984491972201498,0.015636100061827928,0.013581126458217392,0.0015614005598127195,0.00619826995953904,0.0017940179211071692,0.000430052804040775,0.011456371478044399
Stomach,0.9956928989534678,0.9706246924637728,0.9614334033721109,0.9656519928345345,0.0034658408261006948,0.014982486246337284,0.004307101046532247,0.9992550206585484,0.9910578397868797,0.002646972674142043,0.0316781973182512,0.021294437708798866,0.020012130178552027,0.0012633906801255322,0.0041827651491343236,0.002646972674142043,0.0006477941807461978,0.0043769718038815485
Thyroid,0.9966156211198486,0.9754563510802974,0.9809776249534327,0.9781183455828948,0.002752643911290683,0.01094669776013563,0.0033843788801513506,0.9996998834095236,0.9948972522893564,0.001794382451494627,0.011471882156631315,0.018082840612920443,0.011849462352190676,0.0011154679237080115,0.003499268405457667,0.001794382451494627,0.0002673446421856238,0.00601721018548339
Normal,0.9844634304972507,0.9301777965073296,0.9024694996029019,0.9159992571625523,0.010928627957558463,0.0424126410208386,0.015536569502749353,0.9935159897603771,0.9704793382521005,0.0025950208615434533,0.013073703868369285,0.01873346372650711,0.01280815591496438,0.0018118622232896047,0.0069011737921762985,0.0025950208615434533,0.003425842056273478,0.010681494556074547
macro,0.9689272157511972,0.9655329911849824,0.9670992424970244,0.9661025742223824,0.0040497241448425435,0.017297102004723612,0.031072784248802686,0.9983770424277664,0.9991329481316115,0.0037604469821912144,0.0035995054927545627,0.005664757773351546,0.004532944441878067,0.00036223755313207514,0.0013625380090612875,0.0037604469821912144,0.0005453994597163138,0.00014379528477233378
micro,0.9689272157511972,0.9689272157511972,0.9689272157511972,0.9689272157511972,0.0040497241448425435,0.017297102004723612,0.031072784248802686,0.9987659163951088,0.9917527787635911,0.0037604469821912144,0.0037604469821912144,0.0037604469821912144,0.0037604469821912144,0.00036223755313207514,0.0013625380090612875,0.0037604469821912144,0.00046436291640031225,0.0022538477187111186
