,Accuracy_avg,Recall_avg,Precision_avg,F1-score_avg,Brier Score_avg,Log Loss_avg,ME_avg,AUC_avg,AUPR_avg,Accuracy_std,Recall_std,Precision_std,F1-score_std,Brier Score_std,Log Loss_std,ME_std,AUC_std,AUPR_std
Bladder,0.9783333333333333,0.8400000000000001,0.9032323232323233,0.8655078873654725,0.01890306397831095,0.08051208329129561,0.021666666666666678,0.989090909090909,0.8929491109249174,0.01354006400772659,0.10198039027185571,0.09990588367712286,0.08040064307415004,0.009308480258344272,0.030510904353716395,0.013540064007726588,0.011089418677801381,0.10127207773970026
Brain,0.9983333333333334,0.9800000000000001,1.0,0.9894736842105264,0.00441249642845988,0.035071589244948013,0.0016666666666666607,0.9987272727272728,0.9915073529411764,0.0033333333333333214,0.039999999999999994,0.0,0.021052631578947344,0.003181344128513215,0.013071546797529697,0.0033333333333333214,0.0025454545454545396,0.016985294117647064
Breast,0.9766666666666666,0.96,0.8371753246753247,0.885078079814922,0.01831577234742745,0.07331224342987314,0.023333333333333317,0.9921818181818182,0.9361775281765692,0.02438123139721299,0.04898979485566354,0.1724783994581421,0.11086455889445143,0.011987633254582372,0.032023561817760136,0.02438123139721299,0.005680181582477556,0.043633603138903986
Bronchus & Lung,0.9833333333333334,0.9199999999999999,0.8918181818181818,0.9035862383230805,0.015861707459712073,0.06602945351034575,0.016666666666666653,0.9961818181818181,0.96228996003996,0.013944333775567929,0.07483314773547882,0.10222322034087707,0.07952036322205572,0.007382877919145103,0.0217592717868247,0.013944333775567929,0.0036545002258621655,0.03578798818201804
Cervix,0.9983333333333334,1.0,0.9818181818181818,0.9904761904761905,0.004762658457202184,0.03481395634388584,0.0016666666666666607,1.0,1.0,0.003333333333333322,0.0,0.036363636363636376,0.019047619047619067,0.005517460225892641,0.018176912883624646,0.003333333333333322,0.0,0.0
Corpus,0.9883333333333333,0.8800000000000001,0.9714285714285715,0.918954248366013,0.012560545267186274,0.061162884052425114,0.011666666666666669,0.9865454545454545,0.9108045821567494,0.016329931618554512,0.16,0.05714285714285716,0.1148989121220692,0.014253805924422705,0.044909481176953835,0.01632993161855451,0.016727272727272695,0.1411893206611647
Kidney,0.99,0.9,0.9818181818181818,0.9299498746867167,0.009661830917151098,0.05221243415043429,0.009999999999999986,0.9943636363636363,0.9767233322233322,0.012247448713915888,0.15491933384829668,0.036363636363636376,0.0927389416767356,0.008426746508827665,0.025125076127087875,0.01224744871391589,0.009170560154849785,0.03005751207905333
Liver,0.9883333333333333,0.96,0.9121212121212121,0.93319662793347,0.013454704464606459,0.06080534473332577,0.011666666666666669,0.9965454545454545,0.9612094338410128,0.008498365855987991,0.04898979485566354,0.0780854468286371,0.04774270682851045,0.008702074779162242,0.02656299154041773,0.008498365855987991,0.004240692287160204,0.05647934892444391
Prostate,1.0,1.0,1.0,1.0,0.002645058219091009,0.028949342766727903,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.001232139794473559,0.00653939049831008,0.0,0.0,0.0
Stomach,0.9866666666666667,0.9,0.9454545454545455,0.9196324143692566,0.01352929717705632,0.06084927245600054,0.01333333333333333,0.992,0.959134828586048,0.015456030825826163,0.08944271909999157,0.10909090909090909,0.08889359978974008,0.013165653769765778,0.04124948559518545,0.015456030825826165,0.01599999999999997,0.0817303428279038
Thyroid,0.9949999999999999,0.96,0.9818181818181818,0.9694235588972431,0.007523146900439842,0.041404755133706526,0.004999999999999982,0.9994545454545454,0.9946060606060605,0.004082482904638616,0.04898979485566354,0.036363636363636376,0.025032563386834617,0.005710155032871967,0.017471522318997634,0.004082482904638615,0.0007272727272727264,0.007060410974024861
Normal,0.9799999999999999,0.8800000000000001,0.8731601731601731,0.8708938120702827,0.015471600473822839,0.06751515914438645,0.020000000000000018,0.9912727272727272,0.9304426406926407,0.021473497877875215,0.19390719429665315,0.11137914860052162,0.15157886414463376,0.014407678976075597,0.042882281354748274,0.021473497877875215,0.012722076861480655,0.09809942598258077
macro,0.9316666666666666,0.9316666666666669,0.9399870731120732,0.9313477180427643,0.011425156840872197,0.05521987652144624,0.06833333333333332,0.9946969696969697,0.9927880154595015,0.0541089436024931,0.05410894360249303,0.048836762086222923,0.055704401210456445,0.007222991327851597,0.02205647554008876,0.0541089436024931,0.005071798546459428,0.005453734831659259
micro,0.9316666666666666,0.9316666666666666,0.9316666666666666,0.9316666666666666,0.011425156840872197,0.05521987652144624,0.06833333333333332,0.9953939393939393,0.964989729227734,0.0541089436024931,0.0541089436024931,0.0541089436024931,0.0541089436024931,0.007222991327851597,0.02205647554008876,0.0541089436024931,0.004363720391774189,0.03324260725602095
