,Accuracy_avg,Recall_avg,Precision_avg,F1-score_avg,Brier Score_avg,Log Loss_avg,ME_avg,AUC_avg,AUPR_avg,Accuracy_std,Recall_std,Precision_std,F1-score_std,Brier Score_std,Log Loss_std,ME_std,AUC_std,AUPR_std
Bladder,0.9766666666666666,0.8400000000000001,0.8877777777777778,0.8567632986208837,0.017296443113364417,0.06490181117653313,0.023333333333333338,0.994,0.9074650627150629,0.01224744871391589,0.10198039027185571,0.10185925898991857,0.07286522430400828,0.008905533207128533,0.038691656968998615,0.01224744871391589,0.004130115160582008,0.0972205445608458
Brain,0.9983333333333334,0.9800000000000001,1.0,0.9894736842105264,0.0020741181827852247,0.00877914963280052,0.0016666666666666607,1.0,1.0,0.0033333333333333214,0.039999999999999994,0.0,0.021052631578947344,0.003028067111806802,0.011293564232818666,0.0033333333333333214,0.0,0.0
Breast,0.9783333333333333,0.9800000000000001,0.842322383498854,0.8947646895015315,0.020684132239772206,0.07454335346204159,0.021666666666666657,0.9936363636363635,0.9356667776667775,0.02147349787787522,0.039999999999999994,0.16439959559202708,0.09450761367163023,0.016626347283489426,0.0636061691022793,0.02147349787787522,0.006057574999621008,0.059091454414986345
Bronchus & Lung,0.9766666666666668,0.8400000000000001,0.89,0.8536363636363637,0.014644014802365605,0.04802705115655552,0.023333333333333338,0.9965454545454545,0.9670121822621821,0.013333333333333326,0.13564659966250536,0.1019803902718557,0.08768840401299996,0.006940762831624303,0.022320358759634337,0.013333333333333324,0.003170108322575049,0.029038399622709092
Cervix,0.9983333333333334,1.0,0.9818181818181818,0.9904761904761905,0.0032820701522906157,0.013343007771115767,0.0016666666666666607,1.0,1.0,0.003333333333333322,0.0,0.036363636363636376,0.019047619047619067,0.006199425650773543,0.024390798728823736,0.003333333333333322,0.0,0.0
Corpus,0.985,0.8800000000000001,0.9333333333333332,0.9040935672514621,0.011792399573333483,0.051207378838804954,0.015000000000000013,0.989090909090909,0.9079895063270064,0.022607766610417565,0.16,0.13333333333333336,0.14289123963473557,0.016401733649527992,0.06452500831864039,0.022607766610417565,0.019207436576355274,0.16532856838470184
Kidney,0.9866666666666667,0.9,0.9538461538461538,0.9133867276887871,0.008452833151797786,0.03134658218844626,0.01333333333333333,0.9985454545454544,0.9874992784992784,0.013540064007726605,0.15491933384829668,0.0923076923076923,0.09462982713118447,0.007958341752395173,0.027276416253640298,0.013540064007726605,0.0018719327529067135,0.015449416356830975
Liver,0.9833333333333334,0.9199999999999999,0.8918181818181818,0.9035862383230805,0.012978485331141576,0.04153681416949377,0.016666666666666653,0.9958181818181817,0.9547271106086896,0.013944333775567929,0.07483314773547882,0.10222322034087707,0.07952036322205572,0.010558491266188045,0.03521495403638351,0.013944333775567929,0.005319541395755551,0.06883639473895507
Prostate,1.0,1.0,1.0,1.0,0.0010123936031639507,0.005806462031540905,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0019637663647203377,0.009921689241025763,0.0,0.0,0.0
Stomach,0.9866666666666667,0.9,0.9454545454545455,0.9196324143692566,0.0115341419609238,0.03937620779798119,0.01333333333333333,0.9918181818181818,0.9604837222398197,0.015456030825826163,0.08944271909999157,0.10909090909090909,0.08889359978974008,0.014915782010064665,0.052412961556995055,0.015456030825826165,0.01636363636363636,0.07903255552036041
Thyroid,0.9949999999999999,0.96,0.9818181818181818,0.9694235588972431,0.005465538518080904,0.021311261356555557,0.004999999999999982,0.9994545454545454,0.9946060606060605,0.004082482904638616,0.04898979485566354,0.036363636363636376,0.025032563386834617,0.005798690569444341,0.022547516366016714,0.004082482904638615,0.0007272727272727264,0.007060410974024848
Normal,0.9816666666666667,0.8800000000000001,0.8951515151515151,0.8772943722943722,0.01475476734074889,0.05763908425189042,0.018333333333333358,0.9894545454545455,0.9267618634384938,0.01699673171197597,0.19390719429665315,0.061406831037528906,0.13105241787384309,0.014735349760383081,0.05629547905005967,0.01699673171197597,0.014642855703055213,0.10119102125762262
macro,0.9233333333333335,0.9233333333333335,0.9336116878763938,0.9227109254391415,0.010330944830814037,0.038151513652813294,0.07666666666666666,0.9956969696969697,0.9940939417498342,0.05254627590144814,0.05254627590144816,0.04825289133128727,0.054131482322192066,0.007723310803876682,0.029185385165462596,0.05254627590144815,0.005490496004262201,0.005514263064567537
micro,0.9233333333333335,0.9233333333333335,0.9233333333333335,0.9233333333333335,0.010330944830814037,0.038151513652813294,0.07666666666666666,0.9959835858585858,0.9648546342931453,0.05254627590144814,0.05254627590144814,0.05254627590144814,0.052546275901448156,0.007723310803876682,0.029185385165462596,0.05254627590144815,0.005397217620218404,0.04638291480983738
