,Accuracy,Recall,Precision,F1-score,Brier Score,Log Loss,ME,AUC,AUPR,Accuracy,Recall,Precision,F1-score,Brier Score,Log Loss,ME,AUC,AUPR
Bladder,0.9916666666666668,0.9400000000000001,0.9568181818181818,0.946031746031746,0.008898778781106708,0.04600584839191431,0.008333333333333326,0.9941818181818182,0.9304562274185036,0.012909944487358053,0.12000000000000002,0.053974282213808726,0.08612482518254312,0.01332604797333041,0.04002793863005192,0.012909944487358055,0.011636363636363624,0.13908754516299274
Brain,1.0,1.0,1.0,1.0,0.0021009762798507403,0.025888034528689756,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0005185427087059376,0.002178363175828737,0.0,0.0,0.0
Breast,0.9633333333333333,1.0,0.8333333333333333,0.8818181818181818,0.015181509804201571,0.06294993067395725,0.03666666666666667,0.9896363636363636,0.878949429956009,0.06531972647421806,0.0,0.2581988897471611,0.19412869549147838,0.022171331545809417,0.06337623421361117,0.06531972647421806,0.018961465926521707,0.22015161868407265
Bronchus & Lung,0.9800000000000001,0.78,0.9777777777777779,0.8047846889952155,0.016935020685330794,0.06969272468487268,0.019999999999999997,0.9632727272727273,0.8275890800918188,0.029154759474226483,0.34871191548325386,0.04444444444444447,0.31742940861623686,0.022340578245072712,0.06422243810531476,0.029154759474226483,0.07031593403000772,0.3207380301086286
Cervix,1.0,1.0,1.0,1.0,0.0021475009122291396,0.026231266378816582,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0006065834082494706,0.0028292287446323567,0.0,0.0,0.0
Corpus,0.9933333333333334,0.9800000000000001,0.9454545454545455,0.9619047619047618,0.006332153799262658,0.038826705971381645,0.006666666666666665,0.9985454545454544,0.9893962418300652,0.009718253158075509,0.03999999999999999,0.07272727272727271,0.055532875189002844,0.00782396739968001,0.024553557733158645,0.009718253158075509,0.0029090909090908833,0.02120751633986928
Kidney,0.9766666666666666,0.74,0.8,0.7672514619883041,0.01835129596203534,0.0749882551838545,0.023333333333333338,0.9894545454545455,0.9163268005644166,0.03472111109333277,0.37735924528226417,0.4000000000000001,0.3858124809753903,0.020967909065664175,0.059505579699596974,0.034721111093332764,0.01975553066195733,0.15560593271317608
Liver,0.9949999999999999,0.96,0.9800000000000001,0.9694736842105265,0.005544943509353217,0.036628071183324305,0.0050000000000000044,0.9998181818181818,0.998090909090909,0.006666666666666682,0.04898979485566354,0.03999999999999999,0.04027605572570313,0.00515661503676991,0.017762698692660867,0.006666666666666682,0.0003636363636363438,0.0038181818181818542
Prostate,1.0,1.0,1.0,1.0,0.0020890844035639463,0.025856911117797133,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0005014531070576753,0.0021810285265450847,0.0,0.0,0.0
Stomach,0.9916666666666668,0.9400000000000001,0.9595959595959596,0.9483709273182959,0.007437526016298092,0.04234892614827776,0.008333333333333326,0.9974545454545455,0.9783100554416343,0.009128709291752777,0.07999999999999999,0.049895309233246365,0.0576898587122769,0.008329868602622657,0.026578452296969805,0.009128709291752779,0.005090909090909079,0.04337988911673123
Thyroid,1.0,1.0,1.0,1.0,0.002229467407056461,0.026785486485726366,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0007672655459099169,0.0030307931613613756,0.0,0.0,0.0
Normal,0.9883333333333333,0.9400000000000001,0.9218181818181819,0.9304761904761906,0.011747623069205303,0.05525970618144156,0.011666666666666669,0.9945454545454545,0.948799764777706,0.01943650631615102,0.12000000000000002,0.11636363636363638,0.11670456138697441,0.017317319281843886,0.053995595315885984,0.019436506316151018,0.010909090909090934,0.1024004704445881
macro,0.9400000000000001,0.9400000000000001,0.9478998316498316,0.9341759702286018,0.008249656719124497,0.04428848891083782,0.059999999999999984,0.993909090909091,0.9963451601324085,0.09195409482755817,0.0919540948275582,0.07858635222032563,0.10316800755236259,0.00985157401864828,0.029547894897386972,0.09195409482755817,0.011658753711626111,0.005965169508164997
micro,0.9400000000000001,0.9400000000000001,0.9400000000000001,0.9400000000000001,0.008249656719124497,0.04428848891083782,0.059999999999999984,0.997020202020202,0.976671130391994,0.09195409482755817,0.09195409482755817,0.09195409482755817,0.09195409482755817,0.00985157401864828,0.029547894897386972,0.09195409482755817,0.005429056548765443,0.04241516258772266
