,Sample,Label
0,jhu-usc.edu_KIRC.HumanMethylation450.2.lvl-3.TCGA-B8-5159-01A-01D-1418-05.gdc_hg38.txt,6
1,jhu-usc.edu_CESC.HumanMethylation450.19.lvl-3.TCGA-VS-A9UL-01A-11D-A42P-05.gdc_hg38.txt,4
2,jhu-usc.edu_BLCA.HumanMethylation450.22.lvl-3.TCGA-4Z-AA84-01A-11D-A392-05.gdc_hg38.txt,0
3,jhu-usc.edu_BRCA.HumanMethylation450.14.lvl-3.TCGA-BH-A208-01A-11D-A161-05.gdc_hg38.txt,2
4,jhu-usc.edu_LGG.HumanMethylation450.14.lvl-3.TCGA-TQ-A7RJ-01A-11D-A33U-05.gdc_hg38.txt,1
5,jhu-usc.edu_LUAD.HumanMethylation450.3.lvl-3.TCGA-50-6593-01A-11D-1756-05.gdc_hg38.txt,3
6,jhu-usc.edu_LGG.HumanMethylation450.13.lvl-3.TCGA-P5-A77W-01A-11D-A32C-05.gdc_hg38.txt,1
7,jhu-usc.edu_LUAD.HumanMethylation450.10.lvl-3.TCGA-55-7995-01A-11D-2185-05.gdc_hg38.txt,3
8,jhu-usc.edu_LUAD.HumanMethylation450.3.lvl-3.TCGA-38-4632-01A-01D-1756-05.gdc_hg38.txt,3
9,jhu-usc.edu_LUAD.HumanMethylation450.6.lvl-3.TCGA-55-7574-01A-11D-2037-05.gdc_hg38.txt,3
10,jhu-usc.edu_LUAD.HumanMethylation450.16.lvl-3.TCGA-NJ-A4YQ-01A-11D-A25R-05.gdc_hg38.txt,3
11,jhu-usc.edu_KIRP.HumanMethylation450.15.lvl-3.TCGA-UZ-A9PV-01A-11D-A42K-05.gdc_hg38.txt,6
12,jhu-usc.edu_CESC.HumanMethylation450.19.lvl-3.TCGA-HG-A9SC-01A-21D-A42P-05.gdc_hg38.txt,4
13,jhu-usc.edu_BRCA.HumanMethylation450.3.lvl-3.TCGA-BH-A0B8-11A-41D-A093-05.gdc_hg38.txt,11
14,jhu-usc.edu_KIRP.HumanMethylation450.5.lvl-3.TCGA-GL-8500-01A-11D-2399-05.gdc_hg38.txt,6
15,jhu-usc.edu_UCEC.HumanMethylation450.13.lvl-3.TCGA-EO-A2CH-01A-11D-A17Z-05.gdc_hg38.txt,5
16,jhu-usc.edu_THCA.HumanMethylation450.13.lvl-3.TCGA-DJ-A3UY-01A-21D-A22G-05.gdc_hg38.txt,10
17,jhu-usc.edu_LUAD.HumanMethylation450.14.lvl-3.TCGA-55-A48Y-01A-11D-A24I-05.gdc_hg38.txt,3
18,jhu-usc.edu_CESC.HumanMethylation450.13.lvl-3.TCGA-C5-A7CJ-01A-11D-A32T-05.gdc_hg38.txt,4
19,jhu-usc.edu_LUSC.HumanMethylation450.2.lvl-3.TCGA-63-5128-01A-01D-1440-05.gdc_hg38.txt,3
20,jhu-usc.edu_BRCA.HumanMethylation450.6.lvl-3.TCGA-AQ-A04H-01B-11D-A10N-05.gdc_hg38.txt,2
21,jhu-usc.edu_BLCA.HumanMethylation450.24.lvl-3.TCGA-XF-AAN3-01A-11D-A42F-05.gdc_hg38.txt,0
22,jhu-usc.edu_LGG.HumanMethylation450.16.lvl-3.TCGA-WY-A85C-01A-11D-A368-05.gdc_hg38.txt,1
23,jhu-usc.edu_KIRP.HumanMethylation450.13.lvl-3.TCGA-Y8-A8RY-01A-11D-A36Y-05.gdc_hg38.txt,6
24,jhu-usc.edu_CESC.HumanMethylation450.5.lvl-3.TCGA-C5-A2LX-01A-11D-A18K-05.gdc_hg38.txt,4
25,jhu-usc.edu_UCEC.HumanMethylation450.5.lvl-3.TCGA-AX-A1CP-01A-11D-A138-05.gdc_hg38.txt,5
26,jhu-usc.edu_CESC.HumanMethylation450.13.lvl-3.TCGA-C5-A7CG-01A-11D-A32T-05.gdc_hg38.txt,4
