,Accuracy_avg,Recall_avg,Precision_avg,F1-score_avg,Brier Score_avg,Log Loss_avg,ME_avg,AUC_avg,AUPR_avg,Accuracy_std,Recall_std,Precision_std,F1-score_std,Brier Score_std,Log Loss_std,ME_std,AUC_std,AUPR_std
Bladder,0.9935395258085495,0.9359757230817563,0.9620657276995305,0.9487255606688729,0.013761408271883985,0.05980715036800406,0.006460474191450372,0.9985502857390156,0.981767156968863,0.0007838410188996291,0.012111384899638037,0.010844185917662789,0.004860813346663021,0.0017212148049928148,0.0038383598461756274,0.0007838410188996291,0.0007607340165960437,0.009005565282957978
Brain,0.9986157393720806,0.994957264957265,0.9904376090442106,0.9926756459988899,0.0016424751174491125,0.01084162304161472,0.0013842606279193426,0.9999444558666124,0.99943299457162,0.0008967046870520352,0.0066885461697483405,0.006224743559634144,0.005032375156276898,0.0009673812467591345,0.0023700790945242953,0.0008967046870520352,5.8403724534424444e-05,0.0005990880751357905
Breast,0.9963082835688525,0.988700216116085,0.9811443198760305,0.9848892191945271,0.01052694028389851,0.05359566040701387,0.003691716431147629,0.9994784616394561,0.9964505721278224,0.0020868275102765583,0.008384590206146725,0.010416865850240774,0.008420094694451052,0.0012594156676903028,0.0034481829668222726,0.0020868275102765583,0.0004577341433495793,0.00314328592372872
Bronchus & Lung,0.9930781055992431,0.9821829257442298,0.9648899523596711,0.9734456373126701,0.016256070213015412,0.0772448867989402,0.006921894400756812,0.9984628073441529,0.9951491375728851,0.002281509789600789,0.00903108690204658,0.009695120699674716,0.008610494148381744,0.0012614206154245842,0.002188050791047315,0.002281509789600789,0.0011988424628141877,0.0027395129153721647
Cervix,0.994000709513392,0.9155104483107797,0.9541780303030304,0.9333894464430683,0.011388626831646587,0.050229857436969595,0.005999290486607944,0.9943681724518261,0.9620127307863198,0.0008981651005044399,0.025760416635233815,0.04054559963397513,0.013371841610139943,0.0018544061163608238,0.004601037248533483,0.00089816510050444,0.0009710345056102636,0.005976504476100122
Corpus,0.9953853248980075,0.969072384287015,0.964381970372972,0.9666869299601617,0.00789774187646735,0.03842328529554424,0.004614675101992561,0.9990100359624023,0.9874259109043877,0.0018842234134054062,0.01610695691603624,0.007153590848514413,0.010996804005855837,0.0019456949767188026,0.005158576827744982,0.0018842234134054062,0.0005985848238339413,0.007751355606175021
Kidney,0.9981542009105422,0.9895750037354587,0.9924613539445628,0.9910019167963771,0.00504089613005604,0.030194188827315827,0.0018457990894577892,0.9986959240758517,0.9966752625215559,0.0007842561131891042,0.003322029116637009,0.00683771708417963,0.003844382697602545,0.0007298784323694591,0.0024485069126431794,0.0007842561131891042,0.0013472756493796438,0.0024664659553759183
Liver,0.9975385797906936,0.9658371166218694,0.9947368421052631,0.9800025517084409,0.005827339289146057,0.03084454411132038,0.0024614202093064417,0.9997441096668181,0.9967741190325071,0.0012309318395696725,0.014692417486810704,0.010526315789473672,0.009814913469178803,0.0007553446310312046,0.002015036451339146,0.0012309318395696725,0.00017806577750404821,0.0019524948584641257
Prostate,0.9958470998640099,0.9734415584415584,0.9715173404504764,0.9722620409355898,0.003991885488052482,0.02069162025018692,0.004152900135990079,0.9993658455450959,0.9881254982076364,0.001981215180442317,0.02349373422977802,0.015061481388161926,0.01342135038170868,0.0016347439928235334,0.004257256648612878,0.001981215180442317,0.00043632176673597325,0.008803652394420275
Stomach,0.9952313604919294,0.9728542789692215,0.9510521950988249,0.9611688366727471,0.010572190064262152,0.050854706748188594,0.004768639508070693,0.9988167858071797,0.989766239406628,0.0007544138749399329,0.0305248572566746,0.020386323925109424,0.006738274488497814,0.0018435304623686257,0.004383527758614571,0.0007544138749399329,0.0011598669102370225,0.007904756162646128
Thyroid,0.9973848518890793,0.9895063334068691,0.9768870881850997,0.9830703538405331,0.0036433598933175494,0.019756227452945467,0.002615148110920584,0.9997454324188488,0.9969068329146088,0.0020411247123437786,0.011783958235982385,0.019741137903888057,0.013606258152017622,0.0010935928322414294,0.0025877773124011075,0.0020411247123437786,0.00023594380338394096,0.0029421547941448447
Normal,0.9855405900786378,0.918259440812211,0.9228113506112745,0.9204405388734745,0.011977084971951973,0.05681208668463243,0.014459409921362253,0.9924930580437676,0.9716511045060701,0.002143444387153506,0.014244482933196818,0.014491769059843635,0.011193219160778606,0.0010831490080933097,0.003839551543295646,0.0021434443871535054,0.0038658086941407584,0.010602032661368431
macro,0.9703121858925087,0.9663227245403601,0.9688803150042455,0.9673132232004459,0.008543834869262266,0.04160798645188969,0.029687814107491283,0.9980916308117495,0.9990654715458789,0.002602587071145683,0.0020291957802066776,0.0037697506989235467,0.002932864633662112,0.00014161130627950836,0.00032404271445098267,0.002602587071145683,0.0002866078526066771,0.0001127335584823641
micro,0.9703121858925087,0.9703121858925087,0.9703121858925087,0.9703121858925087,0.008543834869262266,0.04160798645188969,0.029687814107491283,0.9985320001747764,0.989984654116336,0.002602587071145683,0.002602587071145683,0.002602587071145683,0.002602587071145683,0.00014161130627950836,0.00032404271445098267,0.002602587071145683,0.0002670643903680479,0.001469112361054886
