,Accuracy_avg,Recall_avg,Precision_avg,F1-score_avg,Brier Score_avg,Log Loss_avg,ME_avg,AUC_avg,AUPR_avg,Accuracy_std,Recall_std,Precision_std,F1-score_std,Brier Score_std,Log Loss_std,ME_std,AUC_std,AUPR_std
Bladder,0.9733887542127357,0.7703314571038732,0.8075512755286762,0.7862840907011553,0.02566904256947484,0.1268164504241276,0.02661124578726426,0.9010352736894557,0.7576727319568926,0.0036597774867584325,0.05858276713356899,0.039780325095254476,0.028279435247224826,0.0030902112866331563,0.015308847252590638,0.0036597774867584325,0.01901298014594032,0.02044662711649981
Brain,0.9950781055992431,0.9752887502887504,0.9743383838383839,0.9744158400827649,0.003657445524236565,0.022858280827624446,0.00492189440075681,0.9897220030220593,0.9791286463093662,0.00231139971988477,0.026611214078659035,0.02007519788305641,0.013234807918598176,0.002570016251367501,0.014942927559222188,0.00231139971988477,0.011206428104547507,0.02095234320153484
Breast,0.9749262697333412,0.8923191175120783,0.9032244165399618,0.8967313328727504,0.023848003794038956,0.12177626070610148,0.025073730266658777,0.9532696784970598,0.8996982442765524,0.006393717155966282,0.024626110198840888,0.04557751723337434,0.021862503874462515,0.006177857156142186,0.03118420743615772,0.006393717155966282,0.019594025462033048,0.03111814647344843
Bronchus & Lung,0.960467332820907,0.8426928032987565,0.850290443665312,0.8456461073769056,0.035784192648805294,0.18169521615089337,0.039532667179092984,0.9390235259391202,0.8549404199501087,0.003973014279553718,0.04332165136854103,0.016412162612335576,0.020141543508109448,0.005237971752627804,0.03279182673283161,0.003973014279553718,0.023709392447170914,0.027887690937841804
Cervix,0.9783107668657246,0.7848899935561079,0.7648213676795823,0.7726003116400983,0.02047729747421909,0.09759268892082297,0.02168923313427542,0.9334954374825418,0.7536760522975399,0.004225706787532621,0.024146377390203713,0.05903319790926104,0.021157182754735982,0.003152155998314834,0.009847397349735406,0.004225706787532621,0.019328283625689214,0.013836298516117593
Corpus,0.9829268609945012,0.8598173727744438,0.8837821497220162,0.870675818150174,0.015329370620549254,0.077877756368424,0.017073139005498717,0.9441430113786842,0.8676104196093661,0.004045867104337755,0.02194081812988986,0.05671578634370902,0.030772160342487285,0.0023313496326937185,0.008724596130254844,0.004045867104337755,0.006210511340031673,0.015132763599587375
Kidney,0.986771595813871,0.9309622266822647,0.9388211816174252,0.9348086835056717,0.011942098039353819,0.0639015023184161,0.013228404186129005,0.973291930625237,0.9369277600855046,0.0038724348475996195,0.019497429471546788,0.0221202047052429,0.019266512422337793,0.0026943022387005827,0.012605471098413668,0.0038724348475996195,0.012069397437635701,0.014486906779179971
Liver,0.9869248507065571,0.8944317585712769,0.8970857824898297,0.8956212458791267,0.011381062585485432,0.05522785722719845,0.01307514929344289,0.9583498137267707,0.8975313591673236,0.0038004394749871118,0.03703296265804593,0.02898408482197007,0.031266421847736064,0.0031809527558566107,0.013658628692177642,0.0038004394749871118,0.0210408782471594,0.03548126796329529
Prostate,0.9912323065097853,0.9512582972582972,0.933830801201798,0.9423363885838697,0.008521646001934509,0.04386242985112792,0.008767693490214622,0.9821679080902473,0.9344515289107178,0.0009210300686730719,0.010737863873498746,0.014593700618233164,0.006647548349948609,0.0008620468638844717,0.004936479428993329,0.000921030068673072,0.004908741240654955,0.005252135933896099
Stomach,0.9812332525276414,0.852224834697914,0.8432242044675882,0.84698832077055,0.016893346826692655,0.08155160996417486,0.01876674747235856,0.9372161795144874,0.8419942755211178,0.005728677678813331,0.054035534299080853,0.05245248386793109,0.047410685387412166,0.005578616176593737,0.02953111372155861,0.005728677678813331,0.034921850277569444,0.06385864919120654
Thyroid,0.9915397623130137,0.9382391390732723,0.9537911620360138,0.9452470275799312,0.00808714136826003,0.04140177301224388,0.008460237686986338,0.979168184989273,0.9481961099901858,0.0018842246750443133,0.030953544776624743,0.024689906694494383,0.011492575963529202,0.0016578927695468967,0.007288264476078175,0.0018842246750443133,0.008635683209631895,0.010289298473792782
Normal,0.9667747886241352,0.8409442098559886,0.8006332712649366,0.819849391088774,0.030557529994761645,0.14878433100423935,0.03322521137586472,0.917958578714358,0.8124334332460501,0.005802738448009904,0.025357546036229802,0.055662367616766,0.03987462521187977,0.003892534622689748,0.017266724583843034,0.005802738448009904,0.020689363945512802,0.037541788019219584
macro,0.8847873233607284,0.8777833300560853,0.8792828700042936,0.8776003798526476,0.017679014787317673,0.08861217973128285,0.11521267663927157,0.9452807159676269,0.6785321114122648,0.0031162565227905873,0.0028227228444740494,0.005174001699302698,0.003212137970510623,0.0005450988218717825,0.004185705777921235,0.0031162565227905873,0.006736880540828758,0.004439212821284121
micro,0.8847873233607284,0.8847873233607284,0.8847873233607284,0.8847873233607284,0.017679014787317673,0.08861217973128285,0.11521267663927157,0.9560317092579981,0.8518380842203849,0.0031162565227905873,0.0031162565227905873,0.0031162565227905873,0.0031162565227905612,0.0005450988218717825,0.004185705777921235,0.0031162565227905873,0.007056921478679743,0.01853717498991186
