,Accuracy_avg,Recall_avg,Precision_avg,F1-score_avg,Brier Score_avg,Log Loss_avg,ME_avg,AUC_avg,AUPR_avg,Accuracy_std,Recall_std,Precision_std,F1-score_std,Brier Score_std,Log Loss_std,ME_std,AUC_std,AUPR_std
Bladder,0.9692353810678176,0.7703314571038732,0.7555364959967257,0.7608021123440498,0.02621760670621547,0.8500954841935849,0.030764618932182363,0.8853466662686159,0.7960811584285861,0.004538600685940091,0.05858276713356899,0.04808157089444028,0.0364738067347443,0.002709864920790209,0.06535253760197471,0.004538600685940091,0.025174932831407804,0.023792780542448846
Brain,0.9947702950393189,0.9752887502887504,0.9712285797649003,0.9727829286575504,0.0035758029655031955,0.10781235326550094,0.0052297049606811145,0.9871908540010604,0.9843651016463776,0.0025919675686423985,0.026611214078659035,0.02455245865432715,0.014566922328592094,0.0027108008825457554,0.09879402368643374,0.0025919675686423985,0.013465044599987054,0.015058656694904924
Breast,0.9743111216224207,0.8923191175120783,0.8986450119520383,0.8944907035254142,0.02397249561481306,0.7994573578507479,0.025688878377579362,0.9414068514266845,0.9106361921481396,0.0065034952304654356,0.024626110198840888,0.04550372909023633,0.022186681489211928,0.006600209298646587,0.24232944934085893,0.0065034952304654356,0.012805496900109539,0.023647074777216448
Bronchus & Lung,0.9620054396026726,0.8426928032987565,0.8603965657146114,0.8507136330648178,0.036317363632183,1.2200416090462702,0.03799456039732747,0.9126987585495041,0.8677371657812154,0.00428899004064141,0.04332165136854103,0.014596649334913432,0.021433808119121146,0.005456636041423052,0.20135501564058095,0.004288990040641411,0.020762999799328226,0.022638327523688443
Cervix,0.977849228404186,0.7848899935561079,0.7564678567836985,0.7686014707244218,0.02074522921224305,0.6684150918150855,0.02215077159581389,0.8899769612749526,0.7844749866655389,0.00396601290882601,0.024146377390203713,0.053087712758595945,0.018644348565591006,0.0029945971430008897,0.08598833915027494,0.00396601290882601,0.013259676140267301,0.010967691237997857
Corpus,0.9833881629515757,0.8598173727744438,0.8900623276234112,0.8739833522383662,0.015387483428263599,0.4826627305984449,0.016611837048424262,0.9325152809752366,0.8917463784402351,0.003278277637493729,0.02194081812988986,0.044180097857326905,0.023898072335141865,0.002314925526301212,0.07487106798990176,0.0032782776374937293,0.009525010144980632,0.018679922447642917
Kidney,0.9872331342754095,0.9281650238850618,0.9456339132503008,0.9365572328286891,0.01177796336808635,0.3747179012293442,0.01276686572459056,0.963256293509932,0.9486508647362635,0.0033192223742659734,0.02393586992123233,0.022984718665073574,0.017713928074312695,0.002417647475456388,0.0699271867252369,0.003319222374265974,0.009449187649225995,0.012150122213081793
Liver,0.9873863891680956,0.898687077720213,0.9005543509369247,0.8994015495966522,0.011414347970331829,0.33462910394955014,0.012613610831904421,0.9582786702952987,0.9179131001499478,0.003528956954111181,0.03669330521702978,0.028559958580902815,0.029647575916781282,0.0032080052062078497,0.0939684570228898,0.003528956954111181,0.013345869373916632,0.02802323010105414
Prostate,0.9912323065097853,0.9512582972582972,0.933830801201798,0.9423363885838697,0.008807568602718488,0.2933496045808571,0.008767693490214622,0.9750689690000984,0.9455117220302214,0.0009210300686730719,0.010737863873498746,0.014593700618233164,0.006647548349948609,0.0009323413662107546,0.03308461063672188,0.000921030068673072,0.007148733198672241,0.004842801464256546
Stomach,0.9816947909891798,0.852224834697914,0.8494369106802943,0.8501144246207797,0.01723965237128573,0.5365988060449712,0.01830520901082009,0.9358945862783647,0.869506245699258,0.005181791064128113,0.054035534299080853,0.04414766120632767,0.04295350795509778,0.00572548830344711,0.20806722827893565,0.005181791064128113,0.03075629532200717,0.0503496396205157
Thyroid,0.9916936084668597,0.9382391390732723,0.9551984369316608,0.9460052605116582,0.007917717863313559,0.23208391989562357,0.00830639153314019,0.9725281913383916,0.9569348420038933,0.001713043423949762,0.030953544776624743,0.02208541741146276,0.0115103386673355,0.0016095411070171132,0.04917240909371969,0.001713043423949762,0.014915317028719411,0.010783210044500356
Normal,0.9684670963164429,0.8389240078357867,0.8155557977068275,0.8268029977464527,0.030697936400007887,0.9990517094559849,0.03153290368355703,0.9151255721105752,0.8413015628303941,0.003792979054179997,0.027409838837154903,0.043865982376893445,0.03371358544468884,0.0040809875364860885,0.1369212439483995,0.0037929790541799974,0.013724304590552537,0.03366900451894224
macro,0.8846334772068823,0.877736489583713,0.8777122540452659,0.8768826712035601,0.0178392640112471,0.5749096393271638,0.11536652279311774,0.9388355517830224,0.6712652494886486,0.00406027738415687,0.002788043214816095,0.005567017560530183,0.003830278093898625,0.0005549714173929866,0.030979576669491013,0.00406027738415687,0.0024465932339969377,0.008218156409349238
micro,0.8846334772068823,0.8846334772068823,0.8846334772068823,0.8846334772068823,0.0178392640112471,0.5749096393271638,0.11536652279311774,0.9417930340724426,0.9002541830713382,0.00406027738415687,0.00406027738415687,0.00406027738415687,0.004060277384156849,0.0005549714173929866,0.030979576669491013,0.00406027738415687,0.0023631489878941734,0.0037128806557584497
