,Accuracy_avg,Recall_avg,Precision_avg,F1-score_avg,Brier Score_avg,Log Loss_avg,ME_avg,AUC_avg,AUPR_avg,Accuracy_std,Recall_std,Precision_std,F1-score_std,Brier Score_std,Log Loss_std,ME_std,AUC_std,AUPR_std
Bladder,0.9963080470643885,0.9667543560905052,0.975272793300863,0.970902813776292,0.0033148044441261753,0.017290784147753972,0.003691952935611642,0.9992968534385558,0.9901157068427636,0.000754340933428375,0.009874825337834776,0.012161170769104002,0.005804827215971675,0.0005372820890275983,0.00360312465084577,0.0007543409334283751,0.00043464475745868517,0.005677625991664958
Brain,0.9990771595813872,0.9966239316239317,0.9934743253247191,0.9950366300366301,0.0009007552036094007,0.00732921098737597,0.0009228404186128802,0.9999774023197199,0.9997923589190542,0.0007534961702611826,0.004135374496889881,0.005959431947930198,0.004057308240864101,0.000741505980662164,0.002728385106555848,0.0007534961702611825,3.497513088096881e-05,0.0003157648070301934
Breast,0.9973850883935433,0.9899197283112071,0.9887465364823855,0.989319372827692,0.0022655496662070604,0.0130873704886889,0.0026149116064565934,0.999850791096905,0.9990399734920639,0.0017267926314511533,0.007618619841684014,0.008317702946133376,0.007102461498851318,0.0014845665787192785,0.006841011128206862,0.0017267926314511533,0.0002120507986759233,0.0013266105453268585
Bronchus & Lung,0.996923904688701,0.989262796027502,0.986916883653447,0.9880791670964403,0.0025258216175585665,0.013346418914532112,0.0030760953112989762,0.9992198828396948,0.9983659854159066,0.0014582043062788376,0.007014680296418316,0.005793436699974324,0.005670227117488341,0.000979194236622839,0.0025729124006758177,0.0014582043062788376,0.00135432881439268,0.0019191809757941245
Cervix,0.9958466268550819,0.9442879499217527,0.9649671447866689,0.9541131973513544,0.0038763522098072267,0.021023745932150072,0.004153373144918082,0.9973189059336891,0.980111873237424,0.0006162125512047297,0.01529648213077462,0.02726030186517692,0.010049773612244357,0.0006857224517558395,0.003631120152934087,0.0006162125512047296,0.0029258592326789636,0.009608690980816
Corpus,0.997077396085851,0.9868522345368971,0.9710331392923697,0.9788548317830663,0.0026900549207633864,0.014404179463068744,0.002922603914148869,0.9995838007732214,0.9935821933309008,0.0007535931866858173,0.008250582101011034,0.0033424659077944856,0.003937544649854463,0.0007901146706913083,0.0037314479445806816,0.0007535931866858173,0.0003334412835701252,0.006092432519710549
Kidney,0.9981539644060782,0.9866010239594237,0.9954157212037205,0.990977134072941,0.0015746246109447908,0.011386314574395252,0.0018460355939218464,0.9983992699875641,0.9965483600638022,0.0006155915674386389,0.005157032771730823,0.0037595779378244774,0.002988813215553049,0.00044004194691949855,0.0029498058990131896,0.0006155915674386389,0.0025310546848740794,0.0030287282751832014
Liver,0.9976923076923077,0.9639795879899232,1.0,0.9815551269688203,0.002424820648402706,0.013449723719344988,0.0023076923076922997,0.9997858570552616,0.997210590179475,0.001376041832307568,0.019973129204546757,0.0,0.010261134243790316,0.0010209419456239366,0.004143088682530549,0.001376041832307568,0.0001925797577253519,0.002451419867184031
Prostate,0.9952317152486254,0.9671486291486291,0.9692363797193518,0.9680674962315216,0.0037726991337544064,0.016801896275394745,0.004768284751374674,0.999475312121314,0.9865380159966219,0.0018454451662708756,0.019982117110991633,0.013163924570828843,0.012947856730507324,0.0013493674884710624,0.004886879866440307,0.0018454451662708756,0.0005373062461201316,0.02019051804175533
Stomach,0.9966157393720806,0.9802616863766289,0.9660307259547766,0.9729245559434186,0.002761802255174096,0.013001493887351459,0.003384260627919344,0.99881896403165,0.9962657670641638,0.001426978469821635,0.01652609573692143,0.016081198711590347,0.01014640322828304,0.001247892908938211,0.005217050529906179,0.001426978469821635,0.002180777732347368,0.00497358827562112
Thyroid,0.9975385797906936,0.9799188746609946,0.9879249011857707,0.9838916584978762,0.001985855009064829,0.011352675341741668,0.0024614202093064417,0.9989376187074279,0.995819337496439,0.002250664135684084,0.018170253382892944,0.012093534017683207,0.015029023008235488,0.0014731404392031302,0.005277643557402307,0.0022506641356840845,0.0018731890827920024,0.005489555887067624
Normal,0.9863097025956366,0.9402094866458759,0.9113045845348114,0.9254006781183669,0.011657707072467617,0.050417564282236836,0.013690297404363495,0.9932490833465083,0.9670433883750726,0.0008984565061191215,0.012216310208145956,0.01721608088221895,0.010434013528733108,0.0006339499669453442,0.004331424943085476,0.0008984565061191215,0.003273386139039991,0.008408988428084027
macro,0.9770801158871875,0.9743183571077726,0.9758602612865737,0.9749268885587016,0.003312570565990022,0.016907614834502892,0.02291988411281263,0.9983701721986786,0.9992931329415212,0.0028969799179865024,0.0035014427008423178,0.0045075860550393395,0.003979865570141053,0.00035253722852458217,0.0016246928141298285,0.0028969799179865024,0.0008029215899044244,0.0002210333258010921
micro,0.9770801158871875,0.9770801158871875,0.9770801158871875,0.9770801158871875,0.003312570565990022,0.016907614834502892,0.02291988411281263,0.9988284574570043,0.9929706990929663,0.0028969799179865024,0.0028969799179865024,0.0028969799179865024,0.0028969799179865024,0.00035253722852458217,0.0016246928141298285,0.0028969799179865024,0.0005830726035747368,0.0022391046341119643
