,Accuracy_avg,Recall_avg,Precision_avg,F1-score_avg,Brier Score_avg,Log Loss_avg,ME_avg,AUC_avg,AUPR_avg,Accuracy_std,Recall_std,Precision_std,F1-score_std,Brier Score_std,Log Loss_std,ME_std,AUC_std,AUPR_std
Bladder,0.9963080470643885,0.9691933804807492,0.9732983814959084,0.971130089270211,0.003344787023871143,0.014348143719613108,0.003691952935611664,0.9991784624365154,0.9909230981252926,0.0010209814028231492,0.012825934997602019,0.012209652144506294,0.006966344334254569,0.0005023097578750382,0.0023267426240338204,0.001020981402823149,0.0007919852673558556,0.005969487721635024
Brain,0.9990771595813872,0.9966239316239317,0.9934743253247191,0.9950366300366301,0.0007248450448280606,0.0027701404114569713,0.0009228404186128802,0.999988692187064,0.9998887674637771,0.0007534961702611826,0.004135374496889881,0.005959431947930198,0.004057308240864101,0.0006417158382618876,0.0018523406606783767,0.0007534961702611825,1.311910338074606e-05,0.0001297889459331498
Breast,0.9973850883935433,0.9899197283112071,0.9887465364823855,0.989319372827692,0.002115941878530047,0.00847502773404941,0.0026149116064565934,0.9998888936243688,0.9992485206086993,0.0017267926314511533,0.007618619841684014,0.008317702946133376,0.007102461498851318,0.0013916535435375662,0.004815309309159114,0.0017267926314511533,0.0001318438427806357,0.000899541989593914
Bronchus & Lung,0.996924022940933,0.9880723198370257,0.9880720542927264,0.9880685691949772,0.0024242086091154267,0.010983019981788312,0.0030759770590669698,0.999810487011165,0.9989381025974067,0.0018826783552806287,0.008475075771988862,0.006528426930536353,0.0073224683182656,0.00045615690474913075,0.001739914095883071,0.0018826783552806285,0.00017400409355244418,0.0007584978008020453
Cervix,0.9956928989534678,0.9442879499217527,0.9620272985632408,0.9526759391976783,0.0036832710213310985,0.01597648267592304,0.004307101046532225,0.9983425377986741,0.9834900013811811,0.00037756987725573785,0.01529648213077462,0.02570600466924692,0.00794763411895017,0.0007135074708051119,0.0032332055867604218,0.00037756987725573785,0.00116897974580493,0.004516866699734219
Corpus,0.997077396085851,0.9868522345368971,0.9710331392923697,0.9788548317830663,0.0027111858926666785,0.01123810915595154,0.002922603914148869,0.9996050233110692,0.9937342350652134,0.0007535931866858173,0.008250582101011034,0.0033424659077944856,0.003937544649854463,0.0008917824994050243,0.003907976685495472,0.0007535931866858173,0.0003221553603958028,0.006161744683162218
Kidney,0.9981539644060782,0.9866010239594237,0.9954157212037205,0.990977134072941,0.0016079886022993726,0.00890343099018627,0.0018460355939218464,0.9992876615420897,0.9975092328901001,0.0006155915674386389,0.005157032771730823,0.0037595779378244774,0.002988813215553049,0.0004435460863567339,0.002677982849246497,0.0006155915674386389,0.0009060564217348423,0.0017716354334324008
Liver,0.9978461538461538,0.9662784385646359,1.0,0.9827522373919368,0.0020708086867477675,0.007255369687417576,0.0021538461538461507,0.9999180767464131,0.9987583030029663,0.0013234346564681,0.019346505554962146,0.0,0.00994231667169855,0.0005194703035444893,0.0013673488223791533,0.0013234346564681,7.464913038843457e-05,0.001162306166659529
Prostate,0.9953854431502395,0.969053391053391,0.9693082575270788,0.9690514727605215,0.003121301583332971,0.012862868358447169,0.004614556849760532,0.9995310787186116,0.9870465898472437,0.0017537537832122774,0.01984491972201498,0.013124618644068787,0.012625048961815807,0.0010697504708157702,0.00570704097838379,0.0017537537832122774,0.0004601004908029214,0.019452148693756752
Stomach,0.9966157393720806,0.9802616863766289,0.9660307259547766,0.9729245559434186,0.0022796333496902755,0.00951860916399235,0.003384260627919344,0.9996053958183637,0.9962905238060973,0.001426978469821635,0.01652609573692143,0.016081198711590347,0.01014640322828304,0.0010875991199926919,0.004216880384319323,0.001426978469821635,0.0005946855781600246,0.004745555068915732
Thyroid,0.997846272098386,0.9818990726807965,0.9899451032059728,0.9858916584978761,0.001943419528023075,0.008498909426994036,0.002153727901614122,0.9998083282512136,0.9978084378019506,0.0017809899373072936,0.015143079084883854,0.009430282170275429,0.012095656186853454,0.0009855018681696262,0.0030273833235037635,0.0017809899373072936,0.0001660637394457333,0.0018662064788397546
Normal,0.986771122804943,0.9402094866458759,0.9156492841976052,0.9276684720262095,0.010406145638626742,0.04165242677741757,0.013228877195057054,0.9959510788870516,0.9720115282242908,0.0007560123315672425,0.012216310208145956,0.015259157253300612,0.010197086329716895,0.0005047042914957255,0.006092001705309734,0.0007560123315672425,0.0018993867580988232,0.007310722459889594
macro,0.9775416543487256,0.974937720332693,0.976083402295042,0.9753625802502632,0.003036128071588555,0.012706878173603112,0.02245834565127418,0.9991984285874718,0.9994707330132911,0.0029770653699251284,0.003575611978078982,0.0044191983864360265,0.003956209190363511,0.00018515731199071628,0.0006844268678706725,0.0029770653699251284,0.00023451124572460987,8.760664705487656e-05
micro,0.9775416543487256,0.9775416543487256,0.9775416543487256,0.9775416543487256,0.003036128071588555,0.012706878173603112,0.02245834565127418,0.999398873402361,0.9954146725758186,0.0029770653699251284,0.0029770653699251284,0.0029770653699251284,0.0029770653699251284,0.00018515731199071628,0.0006844268678706725,0.0029770653699251284,0.00027660770628919196,0.0014184662163404314
