,Accuracy_avg,Recall_avg,Precision_avg,F1-score_avg,Brier Score_avg,Log Loss_avg,ME_avg,AUC_avg,AUPR_avg,Accuracy_std,Recall_std,Precision_std,F1-score_std,Brier Score_std,Log Loss_std,ME_std,AUC_std,AUPR_std
Bladder,0.9923092295867084,0.9108602787259358,0.9690791181755826,0.9388327588659703,0.007094293509642915,0.0279017003750442,0.0076907704132915585,0.9988872860802316,0.9830228409098893,0.0025729619612224128,0.02854005242927737,0.01070363175972147,0.016651133307380977,0.0016783991514701636,0.0041142153968913246,0.0025729619612224128,0.0004816108986338085,0.007435322118285849
Brain,0.9987695855259269,0.994957264957265,0.9919224260216908,0.993408596537576,0.0008739400404958328,0.008236255293745054,0.0012304144740731937,0.9999790770024388,0.9997959987645595,0.0010430694169199202,0.0066885461697483405,0.008564440861658326,0.005549483782701088,0.0006721434476411544,0.001896896755741783,0.0010430694169199202,1.8958378519426656e-05,0.0001834519138388497
Breast,0.9963081653166203,0.984949058351343,0.9846955143452518,0.9847924996517564,0.0033681791734992126,0.01923762725413604,0.0036918346833796577,0.999241317321086,0.9966921435669869,0.0013236549209386594,0.008528081084861468,0.006578443084240658,0.005320934666862258,0.0014256171930275856,0.005610971760632031,0.0013236549209386594,0.0010977346064018055,0.0038679205514619286
Bronchus & Lung,0.9892332525276414,0.9893057485864005,0.9318073838126368,0.9596305863320593,0.00547881010288213,0.027853842126205654,0.01076674747235853,0.9987200021795373,0.9962649780836749,0.002994555778442731,0.004401812731471943,0.01767715437175527,0.010831632495952034,0.0011382346003748,0.0040272401916000315,0.002994555778442731,0.001331086445676658,0.0023677449885952436
Cervix,0.9944623662271624,0.9088655681364879,0.9704908688197097,0.9380077657336088,0.006321646873295806,0.028381143776890317,0.005537633772837447,0.9942316014854329,0.9612252804115494,0.0008972129990751911,0.029394041209193443,0.026444827985465796,0.01291391390042098,0.001131870480346299,0.004589463075676336,0.0008972129990751912,0.0032137410326213613,0.010633636884880138
Corpus,0.9955392893040858,0.9694466681864107,0.9670753456323344,0.9682421133478242,0.004296317166536004,0.019590667224848674,0.0044607106959143605,0.9989948584442212,0.9883581769455306,0.0020289942713963994,0.013374364706170847,0.011150877459796996,0.011607474600400399,0.001644342806276828,0.005328149266308841,0.0020289942713964,0.0006839595704695366,0.00814543792743757
Kidney,0.9984617749660025,0.9910675410488915,0.9940336624588593,0.9925346461787317,0.0017994299522462742,0.013043823660602463,0.0015382250339974978,0.9989270165581898,0.996615011784923,0.00048650448535446123,0.002551977110870433,0.005559017033372832,0.002248012759807541,0.00024063070032531364,0.001758905932667655,0.00048650448535446123,0.001004344411163096,0.002456545793357181
Liver,0.9972308874830013,0.955743462150404,1.0,0.9772991603206466,0.002801063413671751,0.014542814068511078,0.0027691125169987617,0.9996368254284451,0.9961502247073213,0.0010436620436291193,0.01648013371436518,0.0,0.008524346314249951,0.0006229391816638831,0.0022395699235240015,0.0010436620436291193,0.00033985420559388133,0.003198570631876194
Prostate,0.9967700585348549,0.9777344877344877,0.9793621334907907,0.9784722307130871,0.00304078571465812,0.016017743581649264,0.0032299414651451473,0.9989403015622713,0.9850831499170163,0.002141997422384939,0.020197876301443325,0.011531342447583822,0.014079442756434815,0.001821434529771345,0.0064960548782394675,0.002141997422384939,0.001124855859860622,0.017253050026914168
Stomach,0.9955390527996215,0.963061772624991,0.9654433811802233,0.9638202126834772,0.004530383375990157,0.020329996481746482,0.004460947200378418,0.9994465203856695,0.9921990089344611,0.0017811026746199262,0.029852425148126516,0.0162500805713175,0.013038471764666711,0.001768625942540642,0.005174650286930282,0.0017811026746199262,0.0004097081730465124,0.004882243764923843
Thyroid,0.9976924259445397,0.9875261353870671,0.9827581007730688,0.9850761643098764,0.001855178592612842,0.011361287114677288,0.002307574055460293,0.9997740682088484,0.9978348471745655,0.0020059991395833788,0.012336902968646745,0.01769920812284314,0.013251235191896084,0.0013614224019764406,0.00416867114791329,0.0020059991395833783,0.00027995517266782657,0.0024836767126524563
Normal,0.9864635487494826,0.9344111736811461,0.9178805684303539,0.9260302440174704,0.009674819374812137,0.040765593136917244,0.013536451250517324,0.9937085079205266,0.9733221113603244,0.0015845338605045443,0.009986507536608088,0.014238133821375211,0.010709876780197502,0.0009344268757939031,0.004113543422261472,0.0015845338605045443,0.003343981594769107,0.007539449952675493
macro,0.9693898184828239,0.9639940966309025,0.9712123752617086,0.967178914891007,0.004261237274195265,0.020605207841247815,0.030610181517176115,0.9981421678601581,0.9991256109303622,0.003199793371273083,0.003368054068742862,0.003470531125204554,0.003281011302752428,0.00023368768621881235,0.0005073916099476136,0.003199793371273083,0.0002672179107858566,0.0001359169938753186
micro,0.9693898184828239,0.9693898184828239,0.9693898184828239,0.9693898184828239,0.004261237274195265,0.020605207841247815,0.030610181517176115,0.9985164512126726,0.991195701791202,0.003199793371273083,0.003199793371273083,0.003199793371273083,0.003199793371273083,0.00023368768621881235,0.0005073916099476136,0.003199793371273083,0.00022240383047428036,0.0008504017661597666
