,Accuracy_avg,Recall_avg,Precision_avg,F1-score_avg,Brier Score_avg,Log Loss_avg,ME_avg,AUC_avg,AUPR_avg,Accuracy_std,Recall_std,Precision_std,F1-score_std,Brier Score_std,Log Loss_std,ME_std,AUC_std,AUPR_std
Bladder,0.9924630757405547,0.9149173015859876,0.9667321900260809,0.9400118126738558,0.013846950267235297,0.05981834472724697,0.00753692425944541,0.9984740479178716,0.9802043218467331,0.0023517871605482892,0.021525263686864464,0.013325115704207257,0.015512141922816195,0.0018870013067763737,0.004132929773661278,0.0023517871605482892,0.0008247665901109606,0.011517661378878424
Brain,0.9987695855259269,0.994957264957265,0.9919224260216908,0.993408596537576,0.0014146443452584408,0.009314442464230827,0.0012304144740731937,0.9999693627552331,0.9996987252141002,0.0010430694169199202,0.0066885461697483405,0.008564440861658326,0.005549483782701088,0.0008824385884974126,0.002054152413591315,0.0010430694169199202,2.8950691568976777e-05,0.00028377998736162205
Breast,0.9964620114704665,0.984949058351343,0.9860023576123599,0.9854569067357725,0.009873539579943224,0.051871986446057915,0.0035379885295334867,0.9994690410309209,0.9969006154977672,0.0015075234219368394,0.008528081084861468,0.006179065604381413,0.006078935031692555,0.001348186984797638,0.003499056291927226,0.0015075234219368394,0.0005462811540727724,0.003165518600778167
Bronchus & Lung,0.9912327795187135,0.9857406861978089,0.9486880367686705,0.9668146576887425,0.017009250483979572,0.08102815823338574,0.008767220481286576,0.9987366634868833,0.9958564010798174,0.0029403092787485133,0.005958060817324373,0.016319139500305314,0.010741376467931957,0.0008340967998684573,0.0015693927817440638,0.002940309278748513,0.0011040159296265405,0.0021618392512288615
Cervix,0.9943086383255484,0.9190898769523459,0.958118531673185,0.9373305962347886,0.010836678562476767,0.04844962565987202,0.0056913616744516116,0.9937065402696412,0.9594043900293585,0.0006146776044394732,0.021475220667234354,0.03615532907610552,0.007835394375495726,0.0017437651952023996,0.004361526178053462,0.0006146776044394732,0.0016270968014752594,0.007379921993855384
Corpus,0.9956931354579318,0.9716938591976467,0.9671486057055946,0.9693842610821506,0.007498477607390699,0.036639307718785624,0.004306864542068212,0.9989364137188261,0.9870246231724705,0.0020977575467349277,0.015342558374261076,0.01114915497133373,0.012193798955400112,0.002051222044752688,0.005298776052763792,0.0020977575467349277,0.0005512718654595842,0.007913014848187062
Kidney,0.9981542009105422,0.9894927378992853,0.992381819758869,0.9909216088315563,0.004696910941368806,0.028292679815412815,0.0018457990894577892,0.9989130400463102,0.9967724056995364,0.0003764105073047097,0.003619244069509035,0.004700855107594197,0.0020344861772817013,0.000527703846747039,0.0019289777286292927,0.0003764105073047097,0.0011565068663206078,0.0021816107333488444
Liver,0.9976924259445397,0.9632397140244668,1.0,0.9812051660875257,0.005409965917750255,0.028487002762899873,0.002307574055460293,0.9997581851693227,0.9971691459143057,0.0010880238332034219,0.016363942561812322,0.0,0.00846249623388113,0.0006797305076717949,0.0019851358951138627,0.0010880238332034219,0.00021566939625752886,0.002017730183536134
Prostate,0.9967700585348549,0.9777344877344877,0.9793621334907907,0.9784722307130871,0.0036732969454562996,0.01904102175409185,0.0032299414651451473,0.9993995777985235,0.9878429637595334,0.002141997422384939,0.020197876301443325,0.011531342447583822,0.014079442756434815,0.0015305454424928903,0.004334712033429595,0.002141997422384939,0.0005347619964691337,0.013977716457326447
Stomach,0.9947700585348548,0.9653606231997036,0.9508906882591093,0.9576691294165706,0.010664716513581838,0.05070788247418884,0.005229941465145149,0.9989531917004884,0.9892099589608403,0.00156884878341001,0.029508448196227947,0.012946353070557512,0.01163664853858752,0.00171320664132946,0.003957364289168101,0.00156884878341001,0.0010231264240212503,0.007738108013647553
Thyroid,0.9976924259445397,0.9875261353870671,0.9827581007730688,0.9850761643098764,0.0031512952668335398,0.017113571856747507,0.002307574055460293,0.9997859493262145,0.997451416504551,0.0020059991395833788,0.012336902968646745,0.01769920812284314,0.013251235191896084,0.001081870920389811,0.0026467144851452648,0.0020059991395833783,0.00020791043049856036,0.0025175144916727097
Normal,0.9866173949033289,0.9344111736811461,0.9198314344196209,0.9270482546522922,0.0108087477483448,0.05108853681938447,0.013382605096671173,0.9934691678972477,0.9749440192263688,0.0017944882770713042,0.009986507536608088,0.010828513594894349,0.009693906304946792,0.0008693038770397839,0.003503763079132525,0.0017944882770713044,0.0030284446004601186,0.007671885560446215
macro,0.9703128954059007,0.965759409930713,0.9703196937090868,0.9677332820803162,0.008240372848301628,0.04015438006102537,0.029687104594099224,0.9981791576681524,0.9990707990867573,0.0036864642470307097,0.003294552821455874,0.003949182452404131,0.0035380480128436344,0.00011595661079188942,0.00036606257279017695,0.0036864642470307092,0.00032325320715306143,0.00014719437870972708
micro,0.9703128954059007,0.9703128954059007,0.9703128954059007,0.9703128954059007,0.008240372848301628,0.04015438006102537,0.029687104594099224,0.9985605485828419,0.9902479005505496,0.0036864642470307097,0.0036864642470307097,0.0036864642470307097,0.0036864642470307097,0.00011595661079188942,0.00036606257279017695,0.0036864642470307092,0.00031589344737061053,0.0015140875956668465
