,Accuracy_avg,Recall_avg,Precision_avg,F1-score_avg,Brier Score_avg,Log Loss_avg,ME_avg,AUC_avg,AUPR_avg,Accuracy_std,Recall_std,Precision_std,F1-score_std,Brier Score_std,Log Loss_std,ME_std,AUC_std,AUPR_std
Bladder,0.9733901732395198,0.802261274326338,0.7890836811661128,0.7952536043358922,0.023249232903498486,0.09091151756022534,0.026609826760480116,0.9631108986343457,0.8084991977158797,0.008664046076842753,0.07257504083430535,0.05329403924849,0.061044329244313585,0.006810970397617624,0.02060929542914274,0.008664046076842753,0.005721082717288186,0.04652041171123001
Brain,0.9964627209838586,0.965593636993637,0.9965749414519907,0.9806878489664795,0.0036052058180136423,0.025389256043189264,0.0035372790161414037,0.990238804515483,0.9780693673733161,0.002599886984290753,0.02628465565968492,0.004201202154779909,0.014961351405504997,0.0025351876424861528,0.012430900423242505,0.0025998869842907535,0.007060674907755784,0.017351043538470348
Breast,0.980925441967717,0.8913420057909098,0.9489297833484018,0.9187514161712491,0.01794822215516964,0.07650103537003852,0.019074558032282883,0.985175989438055,0.9437127405857574,0.0032807086809038205,0.029407291874191204,0.01820484336530176,0.013062973394903919,0.002872779774295602,0.009664940417074035,0.0032807086809038205,0.00337261875069393,0.0066871233385153465
Bronchus & Lung,0.9478547862590906,0.879687673536008,0.756976138641254,0.8133813570313151,0.04234362222925135,0.14742371838592666,0.052145213740909344,0.9610087090034135,0.5355843517158876,0.005527970487043998,0.014499294454783354,0.02943988070348113,0.018258631246756613,0.0033039177952365775,0.007990790022025875,0.005527970487043998,0.0034571947634659808,0.17095017991973951
Cervix,0.9866166853899367,0.8525870692564975,0.8588587484621641,0.853485602446774,0.012429380960571891,0.05527012776273514,0.013383314610063257,0.9727871034876341,0.8446787571524268,0.002780070273532321,0.05974453948961542,0.053742317576892296,0.03674246541979307,0.002340298458904985,0.0099331962902019,0.002780070273532321,0.012828823097725447,0.044418721504294635
Corpus,0.9924628392360905,0.9516174291230948,0.9400087001665882,0.9456824766892055,0.007286346541259999,0.03814897808789074,0.0075371607639094,0.9804598119347245,0.9377470843633289,0.0022500431319225425,0.0176441508019228,0.011310241365932899,0.011411768927763643,0.0021536956383918717,0.010518075338404511,0.0022500431319225425,0.008847669314715893,0.017793715269435413
Kidney,0.9856951457458759,0.868347404845905,0.9910129387733274,0.9253712459731924,0.013588149165637275,0.06360779420403959,0.014304854254124066,0.9809372959123251,0.9456566683855459,0.004199197456195915,0.033573899388030536,0.010054395771913536,0.021969718155478733,0.0035447758721579704,0.010390686831280959,0.004199197456195916,0.0021471951455826034,0.011271328649111645
Liver,0.9952314787441614,0.9379042253585261,0.983875,0.9602406720672974,0.004779466923078124,0.028038409042687444,0.004768521255838709,0.9918730624566287,0.9605719907387009,0.001020607879546877,0.014602989448966522,0.015290928683373043,0.011387238557355437,0.000937568426588803,0.003671292022179909,0.001020607879546877,0.0034074365225387126,0.01618806262005281
Prostate,0.9935396440607815,0.9505007215007215,0.9622282978547234,0.9562562992562993,0.006376302547632234,0.03372869545431083,0.006460355939218343,0.9894909654549024,0.9583734116585886,0.002412380562093008,0.021555086657096066,0.018868217028879423,0.018441801651393256,0.00221937584834237,0.009478479251086388,0.002412380562093008,0.007909449602579707,0.022028954645738442
Stomach,0.9832337255365694,0.820478408956328,0.8975734126984127,0.8553167782157984,0.015830625231027313,0.06861511625936235,0.016766274463430507,0.9743137789921088,0.7796208566847488,0.004799868256106935,0.07729871652852074,0.021754060547165548,0.04242913398132737,0.004467362357440146,0.01712606641226347,0.004799868256106935,0.01560220198776492,0.16476761502192144
Thyroid,0.9887710045527109,0.9585652373631811,0.8995135539194946,0.9280653426817121,0.010502629306333352,0.04603704976963604,0.011228995447289059,0.9883849782295153,0.9270788928441744,0.0034605277613556753,0.02237628468993521,0.029718580100075723,0.026076473895869055,0.002832712505003258,0.010407827143177796,0.0034605277613556753,0.00628448158489699,0.029270762743316563
Normal,0.9650825991840597,0.8372281943959552,0.7903218595108369,0.8122687734208662,0.029947342173233388,0.1125161058136968,0.03491740081594039,0.9645566620907644,0.8309259986066955,0.002035461843807349,0.022391707637164224,0.04457407838978042,0.025261955070355693,0.0012171427432334295,0.004559429503943811,0.0020354618438073488,0.004980496271483993,0.025911033232799568
macro,0.8946331224501861,0.8930094401205919,0.9012464213327755,0.89539678477134,0.01565721049622556,0.06551565031281156,0.10536687754981375,0.9785364407752495,0.8789170115334273,0.00826350743217062,0.010783446787418476,0.007076513974941988,0.008824668560117032,0.0010388965185073222,0.003305273936983721,0.00826350743217062,0.0023709509844977534,0.144615039242992
micro,0.8946331224501861,0.8946331224501861,0.8946331224501861,0.8946331224501861,0.01565721049622556,0.06551565031281156,0.10536687754981375,0.9834557014666732,0.9183704549231553,0.00826350743217062,0.00826350743217062,0.00826350743217062,0.00826350743217062,0.0010388965185073222,0.003305273936983721,0.00826350743217062,0.0013642389949965182,0.006648646447298129
