,Accuracy_avg,Recall_avg,Precision_avg,F1-score_avg,Brier Score_avg,Log Loss_avg,ME_avg,AUC_avg,AUPR_avg,Accuracy_std,Recall_std,Precision_std,F1-score_std,Brier Score_std,Log Loss_std,ME_std,AUC_std,AUPR_std
Bladder,0.9733901732395198,0.802261274326338,0.7890836811661128,0.7952536043358922,0.02657840481002436,0.8705778674027002,0.026609826760480116,0.9774700456967743,0.83878227503199,0.008664046076842753,0.07257504083430535,0.05329403924849,0.061044329244313585,0.008665519941835084,0.28426801558853365,0.008664046076842753,0.009776661912511758,0.04436608207509062
Brain,0.9964627209838586,0.965593636993637,0.9965749414519907,0.9806878489664795,0.003537279014836183,0.11982575686980224,0.0035372790161414037,0.9899095079760668,0.9892479246399525,0.002599886984290753,0.02628465565968492,0.004201202154779909,0.014961351405504997,0.002599886984135688,0.08964082446712714,0.0025998869842907535,0.00928458609254447,0.009196356550513301
Breast,0.980925441967717,0.8913420057909098,0.9489297833484018,0.9187514161712491,0.01904995126802047,0.636971215861673,0.019074558032282883,0.9912343923176656,0.9619910977285402,0.0032807086809038205,0.029407291874191204,0.01820484336530176,0.013062973394903919,0.003235573697413661,0.09609250048383584,0.0032807086809038205,0.004965192147536008,0.01193747625684379
Bronchus & Lung,0.9478547862590906,0.879687673536008,0.756976138641254,0.8133813570313151,0.05214507171857454,1.7109710105614802,0.052145213740909344,0.9688426993915021,0.8539332860064963,0.005527970487043998,0.014499294454783354,0.02943988070348113,0.018258631246756613,0.0055135951037495546,0.1877573599413967,0.005527970487043998,0.004153653804724382,0.015970354107527916
Cervix,0.9866166853899367,0.8525870692564975,0.8588587484621641,0.853485602446774,0.013354540078930837,0.43267356149074543,0.013383314610063257,0.9635173977341364,0.8664515890361567,0.002780070273532321,0.05974453948961542,0.053742317576892296,0.03674246541979307,0.0027886487627960966,0.09055793715576951,0.002780070273532321,0.007271630398200807,0.028716060919985024
Corpus,0.9924628392360905,0.9516174291230948,0.9400087001665882,0.9456824766892055,0.007489518682335515,0.24778666663435475,0.0075371607639094,0.9864367716422043,0.9572288342186983,0.0022500431319225425,0.0176441508019228,0.011310241365932899,0.011411768927763643,0.0022651282353022377,0.08299151565003,0.0022500431319225425,0.005212763628654909,0.010675695066964008
Kidney,0.9856951457458759,0.868347404845905,0.9910129387733274,0.9253712459731924,0.014291459212299532,0.4781146254262093,0.014304854254124066,0.9822105356548549,0.9712582788922152,0.004199197456195915,0.033573899388030536,0.010054395771913536,0.021969718155478733,0.00418604392619229,0.14229961180668302,0.004199197456195916,0.005242085334239255,0.009087397145021688
Liver,0.9952314787441614,0.9379042253585261,0.983875,0.9602406720672974,0.004768490549198109,0.16080612711454717,0.004768521255838709,0.9909416399585582,0.9795602300218613,0.001020607879546877,0.014602989448966522,0.015290928683373043,0.011387238557355437,0.0010206125954817682,0.03667987578236707,0.001020607879546877,0.0069688935485656975,0.010307894621427673
Prostate,0.9935396440607815,0.9505007215007215,0.9622282978547234,0.9562562992562993,0.006460355939505698,0.2231350097567581,0.006460355939218343,0.9879605654749384,0.9706569571484698,0.002412380562093008,0.021555086657096066,0.018868217028879423,0.018441801651393256,0.002412380562148122,0.08332152889428196,0.002412380562093008,0.008316577410670852,0.015554860593739353
Stomach,0.9832337255365694,0.820478408956328,0.8975734126984127,0.8553167782157984,0.016736959292428362,0.5420062904758387,0.016766274463430507,0.982196243050202,0.896265278414343,0.004799868256106935,0.07729871652852074,0.021754060547165548,0.04242913398132737,0.004792695955173279,0.16489980524333941,0.004799868256106935,0.009479471968182043,0.028391252089816774
Thyroid,0.9887710045527109,0.9585652373631811,0.8995135539194946,0.9280653426817121,0.011228995447289069,0.38784228164772294,0.011228995447289059,0.9789490743915014,0.9338903952949407,0.0034605277613556753,0.02237628468993521,0.029718580100075723,0.026076473895869055,0.003460527761355682,0.11952395845555008,0.0034605277613556753,0.012366453325305856,0.02522004215622688
Normal,0.9650825991840597,0.8372281943959552,0.7903218595108369,0.8122687734208662,0.034904005774502506,1.193829672902246,0.03491740081594039,0.9300666284862157,0.8225686296096969,0.002035461843807349,0.022391707637164224,0.04457407838978042,0.025261955070355693,0.002022579619091985,0.07135538369853443,0.0020354618438073488,0.016735383865042735,0.03298708734262747
macro,0.8946331224501861,0.8930094401205919,0.9012464213327755,0.89539678477134,0.017545419315662097,0.5837116738453398,0.10536687754981375,0.9774692927572,0.6900985432546156,0.00826350743217062,0.010783446787418476,0.007076513974941988,0.008824668560117032,0.0013760248620852586,0.04530234631393544,0.00826350743217062,0.0028689290568368387,0.019439491406217427
micro,0.8946331224501861,0.8946331224501861,0.8946331224501861,0.8946331224501861,0.017545419315662097,0.5837116738453398,0.10536687754981375,0.9787114870260318,0.9188785250157585,0.00826350743217062,0.00826350743217062,0.00826350743217062,0.00826350743217062,0.0013760248620852586,0.04530234631393544,0.00826350743217062,0.0021998739995480053,0.0063078685188020425
