,Accuracy,Recall,Precision,F1-score,Brier Score,Log Loss,ME,AUC,AUPR,Accuracy,Recall,Precision,F1-score,Brier Score,Log Loss,ME,AUC,AUPR
Bladder,0.9936933719623958,0.9407663140169256,0.9599550265389715,0.9501280923486742,0.0057421484629347624,0.02562644114375149,0.006306628037604201,0.9989442776920429,0.9840858781930086,0.0010198601757833374,0.01280963045685285,0.01386754064257042,0.007082951520931693,0.0011656801394586331,0.0030960468290660743,0.0010198601757833374,0.0005974515989342191,0.008405994862498488
Brain,0.9989234316797729,0.994957264957265,0.9934603197224782,0.9941928364522508,0.0009177598700451494,0.00869373621792054,0.0010765683202270226,0.9999499522064133,0.9994935728486738,0.0009226040657154173,0.0066885461697483405,0.0059637445003866175,0.0049996807453956665,0.0007624729657802499,0.002234543106610355,0.0009226040657154173,5.116501700144538e-05,0.000519539140152877
Breast,0.9967697037781589,0.9874807039209632,0.9860583918575511,0.9867548145022434,0.0036558429152342476,0.02038296938899046,0.0032302962218411667,0.9994596278353207,0.9969454931588567,0.002142863134334488,0.008856294049143034,0.01005587042354548,0.008695234694695355,0.0015919803680191527,0.005850132874363082,0.002142863134334488,0.000722038002769264,0.003653249320938611
Bronchus & Lung,0.9929244959498609,0.9857479881328215,0.9605617762353097,0.9729830700617266,0.005106444801045761,0.026643969444023863,0.00707550405013897,0.9988728147165885,0.9963764020543671,0.0017791832274731206,0.005953314321818557,0.00823485612834001,0.006609976139328932,0.0012561289215925107,0.003730176952478564,0.0017791832274731206,0.001149056059531342,0.00233499681996968
Cervix,0.9941545556672382,0.9257347571266378,0.9486526238209676,0.9359462643423433,0.005862545516934613,0.027591522521070038,0.005845444332761773,0.9958065405887311,0.9647702239042502,0.0012505513526662347,0.019981099016905476,0.045860613573558466,0.01566217986337521,0.0008305260015006875,0.0035885835409951166,0.0012505513526662347,0.002000979064566352,0.007556937581402479
Corpus,0.9956930172056998,0.969072384287015,0.9691966118999422,0.9691213257230075,0.0042465034661371475,0.020188794007566468,0.00430698279430024,0.9991789838773532,0.9889564793678194,0.002208009292322283,0.01610695691603624,0.011991997882252714,0.013741989174852304,0.0016570212516712512,0.005090315864480743,0.0022080092923222835,0.000442270281625696,0.0070344537035804885
Kidney,0.9984616567137705,0.9895750037354587,0.9954283249106373,0.9924859287596799,0.0018387266893220456,0.01376546927585574,0.0015383432862295042,0.9991506915493339,0.9970214499172245,0.0004866912501552743,0.003322029116637009,0.0037480098991839795,0.0023393648335342525,0.0003230313359376021,0.0017559867711997746,0.00048669125015527435,0.0007451840987635343,0.0022095395742312333
Liver,0.9975385797906936,0.9635382660471569,0.9973333333333333,0.9800921509916465,0.002635802737783137,0.01476116702839338,0.0024614202093064643,0.9997657067918151,0.9968842893685764,0.0010206960431986,0.013624593153117936,0.005333333333333324,0.007702912644878946,0.0007051845677689158,0.002386067289219649,0.0010206960431986,0.00018318115488272007,0.0024709824235137983
Prostate,0.9963086383255483,0.9695367965367966,0.9812685198492996,0.9752305993535197,0.0033565487556975,0.016780948626911013,0.0036913616744515877,0.9990895497981536,0.9866858029094455,0.002141742803759229,0.022639896354765342,0.01234079785968468,0.014244910848479942,0.0019258360635007509,0.006580307700316642,0.002141742803759229,0.0008570581303094854,0.012086053164417866
Stomach,0.9958466268550821,0.9751531295439342,0.9584929753790513,0.9662096587410532,0.0038972620205181808,0.01992316453136646,0.0041533731449181046,0.9993814094615168,0.9924216956389025,0.001151721958804488,0.031177225660533714,0.015195372652604788,0.00938107510117163,0.0016536066910636047,0.005066872531856996,0.001151721958804488,0.0006269683584099368,0.006406895104383792
Thyroid,0.9976925441967717,0.9873557957724606,0.9829134240592751,0.9849955281751498,0.002029298319946206,0.012074465833122685,0.002307455803228264,0.9998332361185985,0.998005002644395,0.0016854081888817093,0.015842071639236826,0.016163547138658398,0.011346909630344983,0.001377398280618606,0.004036221535343908,0.0016854081888817093,0.0001564091622489126,0.0019288950019980408
Normal,0.9860021285401762,0.9299301201915068,0.9172263847263846,0.9233820599504169,0.010160998752096898,0.04331418531862955,0.013997871459823785,0.9940504762691408,0.9707347211994151,0.0010208296510755782,0.010752762592284228,0.0169598788186684,0.008093961587746147,0.0009231382370680503,0.004109462771079343,0.0010208296510755782,0.0027015330933391883,0.00841703148075144
macro,0.9720043753325844,0.9682373770224117,0.9708789760277667,0.9692935274501426,0.004120823525641304,0.020812236111466806,0.027995624667415585,0.9984549332406086,0.9992158538209892,0.002260191107208501,0.0018552322326488146,0.0033803521561326304,0.0026867264799432054,0.00025466950742770495,0.0006528725118928523,0.002260191107208501,0.00027534042953077884,0.0001276675922367712
micro,0.9720043753325844,0.9720043753325844,0.9720043753325844,0.9720043753325844,0.004120823525641304,0.020812236111466806,0.027995624667415585,0.9988258504431446,0.9917151521107022,0.002260191107208501,0.002260191107208501,0.002260191107208501,0.002260191107208501,0.00025466950742770495,0.0006528725118928523,0.002260191107208501,0.0002629190062214442,0.0010051022095627095
