,Accuracy_avg,Recall_avg,Precision_avg,F1-score_avg,Brier Score_avg,Log Loss_avg,ME_avg,AUC_avg,AUPR_avg,Accuracy_std,Recall_std,Precision_std,F1-score_std,Brier Score_std,Log Loss_std,ME_std,AUC_std,AUPR_std
Bladder,0.9938470998640101,0.9407663140169256,0.9622765075851072,0.9512679812455793,0.013880980517478192,0.06049204447778485,0.006152900135990058,0.998456352751058,0.980754575454462,0.0009730103503711154,0.01280963045685285,0.013267850804221845,0.006797071451907725,0.0017679406116319833,0.003810364582962014,0.0009730103503711154,0.0010875230887510841,0.012396982694202204
Brain,0.9987695855259269,0.994957264957265,0.9921180378432835,0.99351943577885,0.0016596808861890828,0.0111521434648053,0.0012304144740731715,0.9999470960011362,0.9994644662988066,0.0007839776957596157,0.0066885461697483405,0.005021647376534966,0.004357704181839519,0.0009954046527047317,0.002538774643935769,0.0007839776957596157,5.202445619507273e-05,0.0005300171257390711
Breast,0.9969235499320052,0.9887465267057735,0.9860977000336518,0.9874016013998489,0.010647145043364985,0.05435549115295986,0.003076450067995018,0.9995317631603433,0.9967890304388846,0.0018842231165491063,0.007241912808543268,0.009987519038709064,0.00759526132114759,0.0012772932557634938,0.0033207636498189435,0.0018842231165491063,0.00043880735837990994,0.0030237502270089372
Bronchus & Lung,0.9933859161591675,0.9845715175445863,0.9650434788273827,0.9747009507740844,0.016359375821455167,0.07763374723626008,0.006614083840832485,0.9985712722843557,0.9951592904914666,0.0022070214210884844,0.00792511576090703,0.009428888445887951,0.00823114146361734,0.0011806968332012918,0.002196851517315826,0.002207021421088485,0.0010229195289938745,0.0025593612379321336
Cervix,0.9941545556672382,0.9220310534229341,0.9513551744164065,0.93528912311521,0.011516818881210865,0.05080435814380589,0.0058454443327617955,0.9943652033706007,0.9602600552450911,0.0010442729071417284,0.021276699397293347,0.046627094459598714,0.015570503556550234,0.0019075242721590295,0.004656942308895841,0.0010442729071417284,0.001187015793510012,0.006393454647261733
Corpus,0.9958468633595459,0.9738916613954489,0.9672218657788546,0.9705256611185782,0.008098888442958214,0.03926241654415567,0.004153136640454069,0.9990895161733647,0.9875484747599454,0.0020408399132638925,0.013635419039293233,0.011146950746708914,0.011640637202447034,0.002165179039380896,0.005622510506985849,0.0020408399132638925,0.0005767106027993597,0.00841136097790991
Kidney,0.9981540826583103,0.9895750037354587,0.9923722065326614,0.9909637558284361,0.0051525333450603795,0.03076724880890195,0.0018459173416897957,0.9989032020018305,0.9968522427766924,0.0006155030380088878,0.003322029116637009,0.004734075827837611,0.002976518994921932,0.0007400234987245707,0.002276973027865002,0.0006155030380088879,0.0011721917386724372,0.0023768748648436916
Liver,0.9975385797906936,0.9635382660471569,0.9973333333333333,0.9800921509916465,0.005919364111674938,0.03128381507946039,0.0024614202093064643,0.9997903192643325,0.9971822497977978,0.0010206960431986,0.013624593153117936,0.005333333333333324,0.007702912644878946,0.0007088614541065315,0.002020101832049186,0.0010206960431986,0.0001332187809661198,0.0016575830220611437
Prostate,0.9966162123810086,0.9754617604617604,0.9794249713135162,0.9773126119513418,0.004013146844166813,0.020769548444536164,0.0033837876189912962,0.9993914357475255,0.9892050351317778,0.0019813343385525766,0.0207536569139759,0.013065120545378506,0.013339183893574684,0.0016474869211770505,0.004148342861478262,0.0019813343385525766,0.0004460123006148485,0.008909371829327906
Stomach,0.9953852066457755,0.9751531295439342,0.951089603268151,0.9625036191414205,0.010592590570656282,0.05089261724926978,0.0046147933542245445,0.998855638367457,0.9898541775653925,0.001287523112274406,0.031177225660533714,0.012297264757377255,0.010790081898326817,0.0019471375721338898,0.004539694605974253,0.001287523112274406,0.0012067880050338014,0.008535428353706501
Thyroid,0.9976925441967717,0.9895063334068691,0.9811408988905235,0.9851741406568024,0.0036724790897328975,0.019975520948993325,0.0023074558032282868,0.9997440063724511,0.9969240834932636,0.0018204322410391215,0.011783958235982385,0.019603281635588214,0.011761738301227774,0.001120872508860794,0.0027197814489275406,0.0018204322410391215,0.00023496763610462328,0.002873478621638858
Normal,0.9866173949033289,0.9267808983422544,0.9264448772816538,0.9264867274810534,0.011960042403322626,0.05650143816079568,0.013382605096671173,0.9931594158363926,0.9726561989450946,0.0017944882770713042,0.014563031186449152,0.014536700766762906,0.009811840819744169,0.0011925602293974915,0.004400760876314669,0.0017944882770713044,0.0033240321909264346,0.009439751963758715
macro,0.9724657955418909,0.9687483107983639,0.9709932212587103,0.9696031466235709,0.008622753829772536,0.041990865809310746,0.027534204458109147,0.9981840733826808,0.9991058066710913,0.0028943843637131298,0.0021317106839736084,0.003862646700450185,0.003085923708860367,0.0001448523305707996,0.00040249266246966924,0.00289438436371313,0.00035935116238014714,0.0001270860581572768
micro,0.9724657955418909,0.9724657955418909,0.9724657955418909,0.9724657955418909,0.008622753829772536,0.041990865809310746,0.027534204458109147,0.9986245595318513,0.9903090424907399,0.0028943843637131298,0.0028943843637131298,0.0028943843637131298,0.0028943843637131298,0.0001448523305707996,0.00040249266246966924,0.00289438436371313,0.00033336391613191554,0.0014121583488186083
