,Accuracy_avg,Recall_avg,Precision_avg,F1-score_avg,Brier Score_avg,Log Loss_avg,ME_avg,AUC_avg,AUPR_avg,Accuracy_std,Recall_std,Precision_std,F1-score_std,Brier Score_std,Log Loss_std,ME_std,AUC_std,AUPR_std
Bladder,0.9947700585348549,0.9629139946447222,0.9565672725611117,0.9595517125681455,0.00439797738985839,0.019180841326063645,0.005229941465145127,0.9992502908518945,0.9887853678104669,0.0013233394627265675,0.018448211996353717,0.010483937821569554,0.007557239469423858,0.0011204843383368318,0.005116633787661257,0.0013233394627265673,0.0003488808704449386,0.0053696083058547015
Brain,0.9989234316797729,0.9932478632478633,0.9951697214318799,0.9941781002306179,0.000934226105896907,0.007627154123049396,0.0010765683202270226,0.9999282101516433,0.9993291185637995,0.0009226040657154173,0.008270748993779817,0.006355454706937322,0.00500783646968323,0.0008235767757288563,0.0029255413470396165,0.0009226040657154173,6.235325051503754e-05,0.0005727092563219075
Breast,0.9969236681842369,0.9874343933312751,0.9872751845377037,0.9873418602967661,0.0022215482240383307,0.013251860970818027,0.0030763318157630117,0.998861402849472,0.9973432838760589,0.0010874390642550142,0.006935671157704215,0.0040065263689988825,0.004377127827145378,0.0011924169911829657,0.006059414908065584,0.0010874390642550142,0.002125010839572892,0.004284720013852825
Bronchus & Lung,0.9950777508425471,0.9797586833199874,0.9821682132251276,0.9809348792678769,0.004096181856313196,0.01972665899193719,0.0049222491574528295,0.9994874327125591,0.9974863227553186,0.0015071257407896735,0.008800683763199365,0.006416130256812446,0.005720633199759287,0.0015167827665510585,0.004916551724663444,0.0015071257407896735,0.00035180825833190134,0.0011328905394373304
Cervix,0.9946159758765447,0.9294384608303415,0.9541520467836258,0.9403438914384428,0.004811757037234637,0.024687400070989022,0.005384024123455333,0.9967759131744,0.9674296430055837,0.0012878763128479004,0.021343150367333467,0.05066509910195603,0.018100468949207547,0.0007389278081526999,0.0021857145460973636,0.0012878763128479004,0.0011654140117967656,0.011270700630339203
Corpus,0.9960008277656242,0.9805148825684771,0.9627109412326804,0.9715222479844057,0.0032767251520309333,0.015676567050280456,0.003999172234375914,0.9992264017211451,0.988281830486733,0.0016419303635717534,0.012195860416468848,0.007470072602942858,0.009595812949703955,0.001057633859490615,0.004080492451972033,0.0016419303635717534,0.00036542515925896746,0.006753453805300473
Kidney,0.9978465086028498,0.9894281967865964,0.9896862628112627,0.9895379087643963,0.001253223958022917,0.009898597853729523,0.0021534913971501092,0.998405864173208,0.9962709339083895,0.0005755452147732396,0.003853586778510642,0.005972980568958823,0.0024673172030236527,0.00037290352102834607,0.002908144445023353,0.0005755452147732397,0.0016410182730632523,0.0031167518639322288
Liver,0.9975384615384616,0.9627801876900731,0.9972972972972972,0.9796172719203116,0.0022653894667976843,0.013700501426270873,0.002461538461538448,0.9987374866327515,0.993181583416078,0.0014915938022819495,0.022318030457849056,0.005405405405405395,0.01258534205102232,0.0012152601429876947,0.004981949786010292,0.0014915938022819493,0.0017535388843641032,0.005196418915520719
Prostate,0.9958468633595459,0.9688008658008659,0.9754143202339376,0.971876029936897,0.0036184474472616456,0.01780522716706485,0.004153136640454092,0.9990912472908219,0.9835388510488899,0.001656776752726747,0.02429319667743943,0.012101645383900298,0.012514101102752103,0.0016469610415540254,0.00724486151758688,0.001656776752726747,0.000697310359331718,0.01455225733540154
Stomach,0.9956927807012358,0.9755629640687111,0.956184617070693,0.965585929524115,0.0034947174314651714,0.016476319292128706,0.004307219298764276,0.9989935443520516,0.9926969518493027,0.0018592435360635109,0.023187331880806985,0.013722405726790132,0.013269532375061423,0.0017795297172993774,0.007016017753698867,0.0018592435360635109,0.001396939725349184,0.0055678591136335085
Thyroid,0.9975386980429255,0.9813788185392675,0.9866803720227058,0.9839611952353877,0.002317436949354719,0.013371575495635201,0.0024613019570744353,0.9992909455017195,0.9944106089050088,0.0016427603901465466,0.012041888393093928,0.014424360826475134,0.010772531454926302,0.0014007548407066475,0.005599483144354412,0.0016427603901465464,0.0005162128112231837,0.0032781563908202476
Normal,0.9875399988174778,0.9428064040022134,0.9226999289348521,0.932605606157335,0.010670291295943423,0.04630663399207085,0.012460001182522329,0.9949654717858867,0.9726489408244822,0.0024047298236496185,0.01029835358222013,0.012784031537118823,0.009995258089486194,0.001913500556135667,0.007162140349887524,0.0024047298236496185,0.002332392007604611,0.00774300081172388
macro,0.9741575119730385,0.9711721429025328,0.9721671815119063,0.9714213861103914,0.0036131601928514967,0.01814244481333648,0.02584248802696152,0.9983236955849403,0.9991210113421772,0.0037578219629767493,0.003462704095296673,0.0053636346402166305,0.00442644738338783,0.0005799851157659098,0.002048747130962872,0.0037578219629767493,0.0003340302145033243,0.00010264114353477541
micro,0.9741575119730385,0.9741575119730385,0.9741575119730385,0.9741575119730385,0.0036131601928514967,0.01814244481333648,0.02584248802696152,0.9985661037528717,0.9920760957117205,0.0037578219629767493,0.0037578219629767493,0.0037578219629767493,0.0037578219629767493,0.0005799851157659098,0.002048747130962872,0.0037578219629767493,0.0003025813729296128,0.0011487271641641792
