,Accuracy,Recall,Precision,F1-score,Brier Score,Log Loss,ME,AUC,AUPR,Accuracy,Recall,Precision,F1-score,Brier Score,Log Loss,ME,AUC,AUPR
Bladder,0.9947700585348549,0.9629139946447222,0.9565672725611117,0.9595517125681455,0.0043946098172119126,0.018139884437768906,0.005229941465145127,0.9992174910277971,0.9886969432198862,0.0013233394627265675,0.018448211996353717,0.010483937821569554,0.007557239469423858,0.0007121153241336869,0.002673564394020361,0.0013233394627265673,0.00039885184246305204,0.004560075990253757
Brain,0.9989234316797729,0.9932478632478633,0.9951697214318799,0.9941781002306179,0.0010261270682946672,0.005164632403595858,0.0010765683202270226,0.9999557457339565,0.9995522158489447,0.0009226040657154173,0.008270748993779817,0.006355454706937322,0.00500783646968323,0.0008202268432875334,0.0025032671505455925,0.0009226040657154173,5.277419389564884e-05,0.0005388972717499922
Breast,0.9969236681842369,0.9874343933312751,0.9872751845377037,0.9873418602967661,0.002412391566730505,0.011828557864231315,0.0030763318157630117,0.9997730635804419,0.9987266387268983,0.0010874390642550142,0.006935671157704215,0.0040065263689988825,0.004377127827145378,0.0010122715814857174,0.0035391500918855014,0.0010874390642550142,0.00033641506326804023,0.0017945992694507415
Bronchus & Lung,0.9950776325903152,0.9785822127317519,0.9833098726294687,0.9809208929220137,0.004050165214355443,0.017362725814930622,0.004922367409684836,0.9994923148725554,0.9976775270934066,0.001426864252773462,0.007939987424237066,0.0057480383989990495,0.005381538206133255,0.0011121822867335986,0.0028771220221306673,0.001426864252773462,0.00044457953429281525,0.0013820195921608492
Cervix,0.9946159758765447,0.9294384608303415,0.9541520467836258,0.9403438914384428,0.004540665268178344,0.020493919096306962,0.005384024123455333,0.9969702004879121,0.9702979502611578,0.0012878763128479004,0.021343150367333467,0.05066509910195603,0.018100468949207547,0.00038753403346918427,0.0022006652815077785,0.0012878763128479004,0.0007306418707732047,0.008332664509143797
Corpus,0.9960007095133921,0.9827126847662793,0.9605355353059337,0.9714959488872534,0.0035192643958701134,0.01623756015977299,0.003999290486607921,0.9987776214670141,0.9868900288380564,0.0015686514042080075,0.010430684642514756,0.008279467624613327,0.009296932137318002,0.0012257496153954886,0.0038140590805850055,0.0015686514042080075,0.000770064221067916,0.007049818997443057
Kidney,0.9978465086028498,0.9894281967865964,0.9896862628112627,0.9895379087643963,0.0017354780880953103,0.010685520256879723,0.0021534913971501092,0.9986362281367114,0.9969412435759045,0.0005755452147732396,0.003853586778510642,0.005972980568958823,0.0024673172030236527,0.00031018614685383666,0.0021033166851383823,0.0005755452147732397,0.0018261782530529125,0.0026184395740481417
Liver,0.9975384615384616,0.9627801876900731,0.9972972972972972,0.9796172719203116,0.0022563178602099223,0.010246828613297423,0.002461538461538448,0.9997782145463301,0.9974507698931608,0.0014915938022819495,0.022318030457849056,0.005405405405405395,0.01258534205102232,0.0008383279348008381,0.0022389137334569106,0.0014915938022819493,0.0002479991372122204,0.0024962118797975546
Prostate,0.9956930172056998,0.9688008658008659,0.973565925909815,0.9709103176021167,0.003274779667926065,0.013538898235969977,0.00430698279430024,0.9993762172070223,0.9857889555862647,0.0015838059002466784,0.02429319667743943,0.014587412832224114,0.012010821418155963,0.0015250628447317986,0.005924883397572458,0.0015838059002466784,0.0004154498199114921,0.01202242810051442
Stomach,0.9956927807012358,0.9755629640687111,0.956184617070693,0.965585929524115,0.003304678516698511,0.014049582148614691,0.004307219298764276,0.999269132481108,0.9930131760568843,0.0018592435360635109,0.023187331880806985,0.013722405726790132,0.013269532375061423,0.0012808714496213881,0.004526642910581045,0.0018592435360635109,0.0009258715460465885,0.005838488747424302
Thyroid,0.9975386980429255,0.9813788185392675,0.9866803720227058,0.9839611952353877,0.0023564060308692895,0.01029101996208356,0.0024613019570744353,0.999722945829251,0.9967992757647774,0.0016427603901465466,0.012041888393093928,0.014424360826475134,0.010772531454926302,0.0011200697040099031,0.003861613193464034,0.0016427603901465464,0.00019510511549304836,0.002257904513007558
Normal,0.9873861526636315,0.9410364924977885,0.9225735066845362,0.9316537870816222,0.009379088714439345,0.037877467336599316,0.012613847336368477,0.9955966345517295,0.9752450926474264,0.00241465024626435,0.012912713310772875,0.012722067066173919,0.010488342374022094,0.0014878745619482986,0.006330903159174283,0.0024146502462643496,0.001951608815909759,0.007580689954397102
macro,0.9740035475669602,0.9711097612446281,0.9719164679205028,0.9712582347059324,0.0035208310174066186,0.015493049694170943,0.025996452433039698,0.9987877304865508,0.9992697759080214,0.0038148832671332407,0.00362349252514742,0.005483816047684455,0.004565060087470908,0.0003435703560526905,0.0013906427982598674,0.0038148832671332407,0.00032490953417934986,0.00016578640601368926
micro,0.9740035475669602,0.9740035475669602,0.9740035475669602,0.9740035475669602,0.0035208310174066186,0.015493049694170943,0.025996452433039698,0.9990837905242984,0.9932503076392681,0.0038148832671332407,0.0038148832671332407,0.0038148832671332407,0.0038148832671332407,0.0003435703560526905,0.0013906427982598674,0.0038148832671332407,0.00042315021152521093,0.0021086057596959554
