,Accuracy_avg,Recall_avg,Precision_avg,F1-score_avg,Brier Score_avg,Log Loss_avg,ME_avg,AUC_avg,AUPR_avg,Accuracy_std,Recall_std,Precision_std,F1-score_std,Brier Score_std,Log Loss_std,ME_std,AUC_std,AUPR_std
Bladder,0.9958461538461538,0.9759609868043603,0.9601300434040972,0.9678743421166995,0.0030906553577170885,0.017120209449540243,0.004153846153846152,0.9986539194554458,0.9904494308473858,0.0009230769230769228,0.0076208100595847655,0.01554408733241818,0.006903609166410857,0.0007407908672422392,0.0054827274513603716,0.0009230769230769227,0.001233482224084687,0.005213474853704063
Brain,0.9992307692307693,0.9969348209042866,0.9954312354312354,0.9961685373793824,0.0006173211166584718,0.0030556827699443428,0.0007692307692307443,0.9999934253780408,0.9999405023151027,0.0006880209161537591,0.00375410830103963,0.006072428848421962,0.00342702471748325,0.0005810328818279586,0.003043958870478576,0.0006880209161537591,1.0185360542303549e-05,9.238759201581939e-05
Breast,0.997076923076923,0.9847133757961786,0.991074636616038,0.9878591098294505,0.0021890747338546464,0.009914794689806314,0.002923076923076917,0.9997770979264535,0.9987758160878568,0.0010204999354939662,0.006495566259353865,0.006492383069120007,0.004226755726134033,0.0009921288611387043,0.005911561816226707,0.0010204999354939662,0.0002458752338497131,0.001272626367605829
Bronchus & Lung,0.9964615384615385,0.9833262047333904,0.9893684970000759,0.9862493188837134,0.0027408746451193307,0.011663929969997214,0.0035384615384615346,0.9998033078824269,0.9988268160906744,0.0014267105377685834,0.011535484480645404,0.010036979437746976,0.005525029722827556,0.00105851913698845,0.004256582497689673,0.0014267105377685832,0.00012330159607452815,0.0006375623579713113
Cervix,0.9960000000000001,0.9474316939890711,0.96696260425074,0.9569052136983827,0.003602248949202372,0.025695564627031854,0.0040000000000000036,0.9961236322258828,0.9752119978934253,0.001491593802281931,0.019006341165751565,0.022784763960501362,0.01594395948773676,0.0013174061159213744,0.007452595109175704,0.001491593802281931,0.0028458864748557894,0.006200807917727348
Corpus,0.9972307692307691,0.9863113897596655,0.9731279439919502,0.97964621514638,0.0025306109893667946,0.021114629265460767,0.0027692307692307903,0.9991631827103739,0.9862988792459604,0.0006153846153845955,0.004649947753396022,0.008544336820917162,0.004453318474124857,0.0005816550368519641,0.01140834452412147,0.0006153846153845955,0.0006610099241396942,0.012006220477426603
Kidney,0.998,0.9879811468970935,0.9925034771460537,0.9902225561204843,0.0016101981182673533,0.009689699800564456,0.0019999999999999797,0.9990799961933309,0.9972724347185912,0.001043435382019284,0.0036972299911523098,0.008175088424716792,0.005075519734029745,0.0005471412244602822,0.004866556870005441,0.001043435382019284,0.0011954628980480604,0.0027008048256378
Liver,0.9983076923076923,0.9779584462511292,0.9950293300401359,0.9863651317327526,0.0014104641354335478,0.005868503256781729,0.0016923076923076818,0.9998589960602281,0.998220587748218,0.0010204999354939796,0.014315625350173654,0.006089563734949857,0.00829213426296293,0.0008703384113229246,0.003737759150901076,0.0010204999354939796,0.0001365788565107014,0.0017355263831987675
Prostate,0.994923076923077,0.9836734693877551,0.951379217273954,0.9669420557513011,0.004147574209777012,0.017156242470313145,0.00507692307692309,0.9995259390475315,0.9916805595087592,0.0007844645405527586,0.018925752031623864,0.017375103756282373,0.005173098223069773,0.0006454235819431097,0.00409197459493022,0.0007844645405527586,0.00038758970470068266,0.009032928814997237
Stomach,0.9970769230769232,0.9823101265822783,0.9706331713140051,0.9762049175623483,0.0022480305370806406,0.010888478664883777,0.0029230769230769393,0.9997598953747273,0.996852020751738,0.0008970695222838632,0.012921471618102934,0.019524321630390636,0.007080434104558333,0.0006586339648794802,0.00455953889818013,0.0008970695222838632,0.0002702333434950987,0.003069097332085176
Thyroid,0.9969230769230769,0.9782954766064842,0.9824980574980575,0.9801951219512196,0.002626737490641248,0.010621683206908837,0.003076923076923066,0.9997986453999215,0.9977017115686146,0.0010878565864408385,0.015754745793169322,0.01541377433389177,0.00704096959414672,0.0010471355865675504,0.0040941919065997714,0.0010878565864408385,0.0001787824449111622,0.0019689018498772162
Normal,0.9855384615384615,0.914453781512605,0.9280422734923797,0.9205203007269246,0.011706056196096404,0.05013509993423659,0.01446153846153846,0.9955550235608243,0.9701182500243221,0.0014915938022819356,0.029698006872082877,0.02288275666190152,0.008612722137139116,0.0015106101027173673,0.005227968837354369,0.0014915938022819356,0.0005836387561946282,0.00620847814947981
macro,0.9763076923076923,0.9749459099353583,0.9746817072882268,0.9745960684082533,0.0032099872066012427,0.01607704317545577,0.0236923076923077,0.9988647524695811,0.9990368410922524,0.0024031537464328026,0.003183372527970076,0.0027575951850245676,0.0029547840290627255,0.00036421726116973326,0.002470073822363615,0.0024031537464328026,0.00033036832861713,0.00024604542445388965
micro,0.9763076923076923,0.9763076923076923,0.9763076923076923,0.9763076923076923,0.0032099872066012427,0.01607704317545577,0.0236923076923077,0.9991698708983325,0.9941758595420191,0.0024031537464328026,0.0024031537464328026,0.0024031537464328026,0.0024031537464328026,0.00036421726116973326,0.002470073822363615,0.0024031537464328026,0.00030500069132490855,0.001613793315414737
